ring_number;tag_id;observation_type;datetime;latitude;longitude;location_name;device_status;observer;catching_method;age_class;sex;condition;mass;wing_length;additional_metric;observation_comments
ZA60714;14QR;equipment;2016-05-09T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;32;100;;
ZA45803;14SY;equipment;2016-05-10T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;32.25;96;;
ZA48337;14SN;equipment;2016-05-11T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;32;104;;
ZA60716;14SF;equipment;2016-05-16T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;32.75;99;;
CA23771;16FR;equipment;2016-05-16T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;31.75;99;;
ZA35988;14SD;equipment;2016-05-19T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;33;101;;
ZA48345;14SW;equipment;2016-05-19T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;31.5;100;;
ZA60720;14SM;equipment;2016-05-20T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;33.75;101;;
ZA48338;14TC;equipment;2016-05-20T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;30.5;99;;
ZA32341;16AV;equipment;2016-05-21T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;31;100.5;;
ZA45608;16FQ;equipment;2016-05-21T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;32.25;100.5;;
ZA60722;14SR;equipment;2016-05-22T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;31.25;102;;
ZA43552;14SZ;equipment;2016-05-22T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;31.75;100;;
ZA45889;14TD;equipment;2016-05-22T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;31.75;99.5;;
ZA60739;16FS;equipment;2016-05-22T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;F;alive;31.5;95;;
ZA43596;14PF;equipment;2016-05-25T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;31.25;100;;
ZA60715;14QC;equipment;2016-05-25T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;32;100;;
ZA48352;14SH;equipment;2016-05-25T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;33.75;97;;
ZA22092;14SJ;equipment;2016-05-25T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;31.75;100;;
ZA59713;16GA;equipment;2016-05-26T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;33.5;99;;
ZA48349;16GB;equipment;2016-05-26T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;32.5;99.5;;
ZA48357;14SI;equipment;2016-06-01T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;34.5;97.5;;
ZA60747;14ST;equipment;2016-06-01T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;F;alive;31.5;95;;
ZA43549;14SV;equipment;2016-06-01T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;30.5;99;;
ZA60702;14SK;equipment;2016-06-03T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;30.75;100;;
ZA24414;14SE;equipment;2016-06-04T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;33.75;103;;
ZA48353;14RH;equipment;2016-06-05T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;32.5;100.5;;
ZA44552;14TE;equipment;2016-06-05T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;32.75;99;;
ZA48358;14SO;equipment;2016-06-07T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;30;100.5;;
ZA48347;14SX;equipment;2016-06-08T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;30.75;96;;
ZA60713;14PN;equipment;2016-06-10T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;F;alive;29.5;98.5;;
ZA45611;14SL;equipment;2016-06-14T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;30;100;;
ZA32301;14SP;equipment;2016-06-14T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;F;alive;27;93;;
ZA35972;14TB;equipment;2016-06-14T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;F;alive;26.5;95;;
ZA60731;16GC;equipment;2016-06-22T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;F;alive;27;94;;
ZA60738;14SQ;equipment;2016-06-26T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;F;alive;29.75;94;;
ZA60744;14SG;equipment;2016-06-27T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;F;alive;29.75;94.5;;
ZA60734;14SU;equipment;2016-06-27T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;F;alive;26.75;96;;
ZA43580;14TA;equipment;2016-06-28T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;F;alive;26;93;;
ZA32371;14TF;equipment;2016-06-28T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;F;alive;30.75;93;;
ZA48338;14TC;retrieval;2017-05-04T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;32.75;100;;
ZA60716;14SF;retrieval;2017-05-05T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;33.25;100;;
ZA35988;14SD;retrieval;2017-05-06T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;34.5;101;;
ZA48340;18II;equipment;2017-05-10T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;31.5;100;;
ZA48355;18IF;equipment;2017-05-10T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;32.25;98;;
ZA45610;18IH;equipment;2017-05-11T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;32;101;;
ZA60752;18IN;equipment;2017-05-11T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;33;100;;
ZA43552;14SZ;retrieval;2017-05-11T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;31.75;100;;
Z717198;18IK;equipment;2017-05-12T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;35.75;100.5;;
ZA48339;18IC;equipment;2017-05-14T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;32.5;98;;
ZA60826;18IX;equipment;2017-05-14T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;33.75;100;;
ZA76606;18IL;equipment;2017-05-15T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;32;94;;
ZA36876;18IA;equipment;2017-05-22T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;33.75;101.5;;
ZA69547;18IJ;equipment;2017-05-22T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;32.75;98;;
ZA76620;18IQ;equipment;2017-05-22T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;32.5;97;;
ZA45672;18IE;equipment;2017-05-24T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;31.75;97;;
ZA35003;18IB;equipment;2017-05-26T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;35;102;;
ZA60823;18IG;equipment;2017-05-26T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;34.5;100.5;;
ZA32371;14TF;retrieval;2017-05-26T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;F;alive;31.75;95;;
Z717190;18KD;equipment;2017-05-27T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;31;97;;
ZA76621;18HY;equipment;2017-05-27T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;32.5;99;;
ZA76610;18HA;equipment;2017-06-03T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;33;101;;
ZA35987;18LI;equipment;2017-06-08T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;F;alive;35.98;98;;
ZA69517;18KA;equipment;2017-06-08T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;31.5;99.5;;
ZA60852;18LB;equipment;2017-06-12T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;29;98;;
ZA62192;18LZ;equipment;2017-06-12T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;31.67;98;;
ZA44432;18LD;equipment;2017-06-19T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;34.5;100.5;;
ZA45629;18LY;equipment;2017-06-19T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;30.5;96;;
ZA45656;18LX;equipment;2017-06-19T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;F;alive;32.25;95;;
ZA60836;18MA;equipment;2017-06-19T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;30.25;99;;
ZA60853;18LW;equipment;2017-06-19T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;29.25;96.5;;
Z791027;18HB;equipment;2017-06-20T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;F;alive;27.75;97;;
ZA60845;18LJ;equipment;2017-06-20T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;31.75;99;;
ZA59713;16GA;retrieval;2017-06-20T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;31.75;99;;
ZA60841;18HQ;equipment;2017-06-24T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;34.75;101;;
ZA48360;18LC;equipment;2017-06-25T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;33.5;101;;
ZA48339;18IC;retrieval;2018-05-01T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;33;98;;
ZA45656;18LX;retrieval;2018-05-02T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;F;alive;32.25;98;;
ZA69547;18IJ;retrieval;2018-05-03T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;33.25;98.5;;
ZA76610;18HA;retrieval;2018-05-04T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;33.75;101;;
ZA62192;18LZ;retrieval;2018-05-07T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;33.5;98;;
ZA69517;18KA;retrieval;2018-05-14T00:00;48.8974322;17.0603564;Mutenice;present;Petr Prochazka;M;4;M;alive;31.83;100.5;;
