tag_id;ring_number;scientific_name;manufacturer;model;firmware;weight;attachment_type;readout_method;tag_comments
14PF;ZA43596;Acrocephalus arundinaceus;Swiss Ornithological Institute;GDL3pam-v2.3;FW_GDL3pam_V2.3.1;1.65;leg harness|material:cord|attachment:tubes;tag-retrieval;
14PN;ZA60713;Acrocephalus arundinaceus;Swiss Ornithological Institute;GDL3pam-v2.3;FW_GDL3pam_V2.3.1;1.63;leg harness|material:cord|attachment:tubes;tag-retrieval;
14QC;ZA60715;Acrocephalus arundinaceus;Swiss Ornithological Institute;GDL3pam-v2.3;FW_GDL3pam_V2.3.1;1.59;leg harness|material:cord|attachment:tubes;tag-retrieval;
14QR;ZA60714;Acrocephalus arundinaceus;Swiss Ornithological Institute;GDL3pam-v2.3;FW_GDL3pam_V2.3.1;1.59;leg harness|material:cord|attachment:tubes;tag-retrieval;
14RH;ZA48353;Acrocephalus arundinaceus;Swiss Ornithological Institute;GDL3pam-v2.3;FW_GDL3pam_V2.3.1;1.6;leg harness|material:cord|attachment:tubes;tag-retrieval;
14SD;ZA35988;Acrocephalus arundinaceus;Swiss Ornithological Institute;GDL3pam-v2.3;FW_GDL3pam_V2.3.1;1.5700001;leg harness|material:cord|attachment:tubes;tag-retrieval;
14SE;ZA24414;Acrocephalus arundinaceus;Swiss Ornithological Institute;GDL3pam-v2.3;FW_GDL3pam_V2.3.1;1.53;leg harness|material:cord|attachment:tubes;tag-retrieval;
14SF;ZA60716;Acrocephalus arundinaceus;Swiss Ornithological Institute;GDL3pam-v2.3;FW_GDL3pam_V2.3.1;1.5700001;leg harness|material:cord|attachment:tubes;tag-retrieval;
14SG;ZA60744;Acrocephalus arundinaceus;Swiss Ornithological Institute;GDL3pam-v2.3;FW_GDL3pam_V2.3.1;1.49;leg harness|material:cord|attachment:tubes;tag-retrieval;
14SH;ZA48352;Acrocephalus arundinaceus;Swiss Ornithological Institute;GDL3pam-v2.3;FW_GDL3pam_V2.3.1;1.66;leg harness|material:cord|attachment:tubes;tag-retrieval;
14SI;ZA48357;Acrocephalus arundinaceus;Swiss Ornithological Institute;GDL3pam-v2.3;FW_GDL3pam_V2.3.1;1.53;leg harness|material:cord|attachment:tubes;tag-retrieval;
14SJ;ZA22092;Acrocephalus arundinaceus;Swiss Ornithological Institute;GDL3pam-v2.3;FW_GDL3pam_V2.3.1;1.52;leg harness|material:cord|attachment:tubes;tag-retrieval;
14SK;ZA60702;Acrocephalus arundinaceus;Swiss Ornithological Institute;GDL3pam-v2.3;FW_GDL3pam_V2.3.1;1.55;leg harness|material:cord|attachment:tubes;tag-retrieval;
14SL;ZA45611;Acrocephalus arundinaceus;Swiss Ornithological Institute;GDL3pam-v2.3;FW_GDL3pam_V2.3.1;1.53;leg harness|material:cord|attachment:tubes;tag-retrieval;
14SM;ZA60720;Acrocephalus arundinaceus;Swiss Ornithological Institute;GDL3pam-v2.3;FW_GDL3pam_V2.3.1;1.52;leg harness|material:cord|attachment:tubes;tag-retrieval;
14SN;ZA48337;Acrocephalus arundinaceus;Swiss Ornithological Institute;GDL3pam-v2.3;FW_GDL3pam_V2.3.1;1.6;leg harness|material:cord|attachment:tubes;tag-retrieval;
14SO;ZA48358;Acrocephalus arundinaceus;Swiss Ornithological Institute;GDL3pam-v2.3;FW_GDL3pam_V2.3.1;1.58;leg harness|material:cord|attachment:tubes;tag-retrieval;
14SP;ZA32301;Acrocephalus arundinaceus;Swiss Ornithological Institute;GDL3pam-v2.3;FW_GDL3pam_V2.3.1;1.58;leg harness|material:cord|attachment:tubes;tag-retrieval;
14SQ;ZA60738;Acrocephalus arundinaceus;Swiss Ornithological Institute;GDL3pam-v2.3;FW_GDL3pam_V2.3.1;1.48;leg harness|material:cord|attachment:tubes;tag-retrieval;
14SR;ZA60722;Acrocephalus arundinaceus;Swiss Ornithological Institute;GDL3pam-v2.3;FW_GDL3pam_V2.3.1;1.6;leg harness|material:cord|attachment:tubes;tag-retrieval;
14ST;ZA60747;Acrocephalus arundinaceus;Swiss Ornithological Institute;GDL3pam-v2.3;FW_GDL3pam_V2.3.1;1.5700001;leg harness|material:cord|attachment:tubes;tag-retrieval;
14SU;ZA60734;Acrocephalus arundinaceus;Swiss Ornithological Institute;GDL3pam-v2.3;FW_GDL3pam_V2.3.1;1.54;leg harness|material:cord|attachment:tubes;tag-retrieval;
14SV;ZA43549;Acrocephalus arundinaceus;Swiss Ornithological Institute;GDL3pam-v2.3;FW_GDL3pam_V2.3.1;1.5599999;leg harness|material:cord|attachment:tubes;tag-retrieval;
