series,timestamp,value,label
Rise,2015-07-15T02:30:00.000Z,210,1
Set,2015-07-15T18:05:00.000Z,1145,1
Rise,2015-07-16T02:35:00.000Z,215,1
Set,2015-07-16T17:55:00.000Z,1135,1
Rise,2015-07-17T02:30:00.000Z,210,1
Set,2015-07-17T18:20:00.000Z,1160,1
Rise,2015-07-18T02:30:00.000Z,210,1
Set,2015-07-18T18:15:00.000Z,1155,1
Rise,2015-07-19T02:30:00.000Z,210,1
Set,2015-07-19T18:10:00.000Z,1150,1
Rise,2015-07-20T02:35:00.000Z,215,2
Set,2015-07-20T17:55:00.000Z,1135,2
Rise,2015-07-21T02:30:00.000Z,210,3
Set,2015-07-21T18:15:00.000Z,1155,3
Rise,2015-07-22T02:30:00.000Z,210,4
Set,2015-07-22T18:10:00.000Z,1150,4
Rise,2015-07-23T02:20:00.000Z,200,4
Set,2015-07-23T18:05:00.000Z,1145,4
Rise,2015-07-24T02:30:00.000Z,210,4
Set,2015-07-24T18:00:00.000Z,1140,4
Rise,2015-07-25T02:25:00.000Z,205,4
Set,2015-07-25T18:05:00.000Z,1145,4
Rise,2015-07-26T02:40:00.000Z,220,5
Set,2015-07-26T18:05:00.000Z,1145,5
Rise,2015-07-27T02:40:00.000Z,220,6
Set,2015-07-27T17:45:00.000Z,1125,6
Rise,2015-07-28T02:50:00.000Z,230,7
Set,2015-07-28T18:00:00.000Z,1140,7
Rise,2015-07-29T02:55:00.000Z,235,7
Set,2015-07-29T17:55:00.000Z,1135,7
Rise,2015-07-30T02:35:00.000Z,215,7
Set,2015-07-30T18:00:00.000Z,1140,7
Rise,2015-07-31T02:55:00.000Z,235,7
Set,2015-07-31T17:55:00.000Z,1135,7
Rise,2015-08-01T02:50:00.000Z,230,7
Set,2015-08-01T17:55:00.000Z,1135,7
Rise,2015-08-02T02:40:00.000Z,220,7
Set,2015-08-02T17:50:00.000Z,1130,7
Rise,2015-08-03T02:35:00.000Z,215,7
Set,2015-08-03T17:55:00.000Z,1135,7
Rise,2015-08-04T02:40:00.000Z,220,7
Set,2015-08-04T17:45:00.000Z,1125,7
Rise,2015-08-05T02:55:00.000Z,235,7
Set,2015-08-05T17:45:00.000Z,1125,7
Rise,2015-08-06T02:45:00.000Z,225,7
Set,2015-08-06T17:50:00.000Z,1130,7
Rise,2015-08-07T02:50:00.000Z,230,7
Set,2015-08-07T17:35:00.000Z,1115,7
Rise,2015-08-08T03:00:00.000Z,240,7
Set,2015-08-08T17:40:00.000Z,1120,7
Rise,2015-08-09T02:55:00.000Z,235,7
Set,2015-08-09T17:35:00.000Z,1115,7
Rise,2015-08-10T02:50:00.000Z,230,7
Set,2015-08-10T17:25:00.000Z,1105,7
Rise,2015-08-11T03:05:00.000Z,245,7
Set,2015-08-11T17:30:00.000Z,1110,7
Rise,2015-08-12T02:55:00.000Z,235,7
Set,2015-08-12T17:45:00.000Z,1125,7
