series,timestamp,value,label
Rise,2015-07-15T02:35:00.000Z,235,1
Set,2015-07-15T18:00:00.000Z,1160,1
Rise,2015-07-16T02:45:00.000Z,245,1
Set,2015-07-16T18:05:00.000Z,1165,1
Rise,2015-07-17T02:45:00.000Z,245,1
Set,2015-07-17T18:15:00.000Z,1175,1
Rise,2015-07-18T02:45:00.000Z,245,1
Set,2015-07-18T18:00:00.000Z,1160,1
Rise,2015-07-19T02:40:00.000Z,240,1
Set,2015-07-19T18:10:00.000Z,1170,1
Rise,2015-07-20T02:30:00.000Z,230,1
Set,2015-07-20T17:50:00.000Z,1150,1
Rise,2015-07-21T02:50:00.000Z,250,1
Set,2015-07-21T18:10:00.000Z,1170,1
Rise,2015-07-22T02:40:00.000Z,240,1
Set,2015-07-22T18:00:00.000Z,1160,1
Rise,2015-07-23T02:25:00.000Z,225,1
Set,2015-07-23T17:50:00.000Z,1150,1
Rise,2015-07-24T02:55:00.000Z,255,1
Set,2015-07-24T17:55:00.000Z,1155,1
Rise,2015-07-25T02:45:00.000Z,245,1
Set,2015-07-25T17:55:00.000Z,1155,1
Rise,2015-07-26T02:35:00.000Z,235,1
Set,2015-07-26T17:55:00.000Z,1155,1
Rise,2015-07-27T02:45:00.000Z,245,1
Set,2015-07-27T17:55:00.000Z,1155,1
Rise,2015-07-28T03:00:00.000Z,260,1
Set,2015-07-28T17:55:00.000Z,1155,1
Rise,2015-07-29T02:50:00.000Z,250,1
Set,2015-07-29T17:50:00.000Z,1150,1
Rise,2015-07-30T03:00:00.000Z,260,1
Set,2015-07-30T18:00:00.000Z,1160,1
Rise,2015-07-31T03:40:00.000Z,300,discard
Set,2015-07-31T17:45:00.000Z,1145,1
Rise,2015-08-01T03:20:00.000Z,280,discard
Set,2015-08-01T17:45:00.000Z,1145,1
Rise,2015-08-02T02:50:00.000Z,250,1
Set,2015-08-02T17:40:00.000Z,1140,1
Rise,2015-08-03T03:10:00.000Z,270,1
Set,2015-08-03T17:50:00.000Z,1150,1
Rise,2015-08-04T02:50:00.000Z,250,1
Set,2015-08-04T17:50:00.000Z,1150,1
Rise,2015-08-05T02:50:00.000Z,250,1
Set,2015-08-05T17:45:00.000Z,1145,1
Rise,2015-08-06T03:00:00.000Z,260,1
Set,2015-08-06T17:35:00.000Z,1135,1
Rise,2015-08-07T02:45:00.000Z,245,1
Set,2015-08-07T17:45:00.000Z,1145,1
Rise,2015-08-08T02:55:00.000Z,255,1
Set,2015-08-08T17:50:00.000Z,1150,1
Rise,2015-08-09T02:50:00.000Z,250,1
Set,2015-08-09T17:40:00.000Z,1140,1
Rise,2015-08-10T02:50:00.000Z,250,1
Set,2015-08-10T17:45:00.000Z,1145,1
Rise,2015-08-11T03:20:00.000Z,280,1
Set,2015-08-11T17:40:00.000Z,1140,1
Rise,2015-08-12T03:05:00.000Z,265,1
Set,2015-08-12T17:25:00.000Z,1125,1
Rise,2015-08-13T02:55:00.000Z,255,1
Set,2015-08-13T17:35:00.000Z,1135,1
Rise,2015-08-14T03:00:00.000Z,260,1
Set,2015-08-14T17:15:00.000Z,1115,1
Rise,2015-08-15T02:55:00.000Z,255,1
Set,2015-08-15T17:35:00.000Z,1135,1
Rise,2015-08-16T03:20:00.000Z,280,1
Set,2015-08-16T17:35:00.000Z,1135,1
Rise,2015-08-17T03:10:00.000Z,270,1
Set,2015-08-17T17:25:00.000Z,1125,1
Rise,2015-08-18T03:05:00.000Z,265,1
Set,2015-08-18T17:25:00.000Z,1125,1
Rise,2015-08-19T03:25:00.000Z,285,1
Set,2015-08-19T17:20:00.000Z,1120,1
Rise,2015-08-20T03:25:00.000Z,285,1
Set,2015-08-20T17:30:00.000Z,1130,1
Rise,2015-08-21T03:35:00.000Z,295,1
Set,2015-08-21T17:10:00.000Z,1110,1
Rise,2015-08-22T03:25:00.000Z,285,1
Set,2015-08-22T17:05:00.000Z,1105,1
Rise,2015-08-23T03:20:00.000Z,280,1
Set,2015-08-23T17:25:00.000Z,1125,1
Rise,2015-08-24T03:15:00.000Z,275,1
Set,2015-08-24T17:20:00.000Z,1120,1
Rise,2015-08-25T03:10:00.000Z,270,1
Set,2015-08-25T17:20:00.000Z,1120,1
Rise,2015-08-26T03:15:00.000Z,275,1
Set,2015-08-26T17:15:00.000Z,1115,1
Rise,2015-08-27T03:20:00.000Z,280,1
Set,2015-08-27T17:25:00.000Z,1125,1
Rise,2015-08-28T03:20:00.000Z,280,1
Set,2015-08-28T17:10:00.000Z,1110,1
Rise,2015-08-29T03:20:00.000Z,280,1
Set,2015-08-29T17:15:00.000Z,1115,1
Rise,2015-08-30T03:20:00.000Z,280,1
Set,2015-08-30T16:55:00.000Z,1095,1
Rise,2015-08-31T03:30:00.000Z,290,2
Set,2015-08-31T17:05:00.000Z,1105,2
Rise,2015-09-01T03:40:00.000Z,300,3
Set,2015-09-01T16:45:00.000Z,1085,3
Rise,2015-09-02T03:20:00.000Z,280,3-5
Set,2015-09-02T16:00:00.000Z,1040,4
Rise,2015-09-03T03:55:00.000Z,315,5
Set,2015-09-03T16:10:00.000Z,1050,5
Rise,2015-09-04T03:50:00.000Z,310,5-5
Set,2015-09-04T16:40:00.000Z,1080,6
Rise,2015-09-05T04:10:00.000Z,330,7
Set,2015-09-05T16:35:00.000Z,1075,7
Rise,2015-09-06T04:05:00.000Z,325,7
Set,2015-09-06T16:45:00.000Z,1085,7
Rise,2015-09-07T04:05:00.000Z,325,7
Set,2015-09-07T16:40:00.000Z,1080,7
Rise,2015-09-08T04:10:00.000Z,330,7
Set,2015-09-08T16:40:00.000Z,1080,7
Rise,2015-09-09T04:15:00.000Z,335,7
Set,2015-09-09T16:35:00.000Z,1075,7
Rise,2015-09-10T04:25:00.000Z,345,8
Set,2015-09-10T16:25:00.000Z,1065,8
Rise,2015-09-11T04:35:00.000Z,355,8
Set,2015-09-11T16:30:00.000Z,1070,8
Rise,2015-09-12T04:20:00.000Z,340,9
Set,2015-09-12T16:50:00.000Z,1090,9
Rise,2015-09-13T04:30:00.000Z,350,9
Set,2015-09-13T16:45:00.000Z,1085,9
Rise,2015-09-14T04:45:00.000Z,365,10
Set,2015-09-14T17:00:00.000Z,1100,10
Rise,2015-09-15T04:35:00.000Z,355,11
Set,2015-09-15T16:45:00.000Z,1085,11
Rise,2015-09-16T04:55:00.000Z,375,12
Set,2015-09-16T17:15:00.000Z,1115,12
Rise,2015-09-17T04:50:00.000Z,370,12
Set,2015-09-17T16:55:00.000Z,1095,12
Rise,2015-09-18T04:40:00.000Z,360,12
Set,2015-09-18T17:10:00.000Z,1110,12
Rise,2015-09-19T04:40:00.000Z,360,12
Set,2015-09-19T17:00:00.000Z,1100,12
Rise,2015-09-20T04:40:00.000Z,360,12
Set,2015-09-20T17:05:00.000Z,1105,12
Rise,2015-09-21T04:45:00.000Z,365,12
Set,2015-09-21T17:05:00.000Z,1105,12
Rise,2015-09-22T04:35:00.000Z,355,12
Set,2015-09-22T17:10:00.000Z,1110,12
Rise,2015-09-23T04:40:00.000Z,360,13
Set,2015-09-23T17:00:00.000Z,1100,13
Rise,2015-09-24T04:45:00.000Z,365,14
Set,2015-09-24T17:00:00.000Z,1100,14
Rise,2015-09-25T04:40:00.000Z,360,14
Set,2015-09-25T16:40:00.000Z,1080,14
Rise,2015-09-26T04:45:00.000Z,365,15
Set,2015-09-26T17:05:00.000Z,1105,15
Rise,2015-09-27T04:45:00.000Z,365,16
Set,2015-09-27T17:00:00.000Z,1100,16
Rise,2015-09-28T04:45:00.000Z,365,16
Set,2015-09-28T17:00:00.000Z,1100,16
Rise,2015-09-29T04:45:00.000Z,365,16
Set,2015-09-29T17:00:00.000Z,1100,16
Rise,2015-09-30T04:40:00.000Z,360,16
Set,2015-09-30T17:05:00.000Z,1105,16
Rise,2015-10-01T04:40:00.000Z,360,16
Set,2015-10-01T17:05:00.000Z,1105,16
Rise,2015-10-02T04:45:00.000Z,365,16
Set,2015-10-02T17:05:00.000Z,1105,16
Rise,2015-10-03T04:40:00.000Z,360,16
Set,2015-10-03T16:50:00.000Z,1090,16
Rise,2015-10-04T04:40:00.000Z,360,16
Set,2015-10-04T17:00:00.000Z,1100,16
Rise,2015-10-05T04:45:00.000Z,365,16
Set,2015-10-05T17:00:00.000Z,1100,16
Rise,2015-10-06T04:45:00.000Z,365,16
Set,2015-10-06T17:00:00.000Z,1100,16
Rise,2015-10-07T04:45:00.000Z,365,16
Set,2015-10-07T16:55:00.000Z,1095,16
Rise,2015-10-08T04:40:00.000Z,360,16
Set,2015-10-08T17:00:00.000Z,1100,16
Rise,2015-10-09T04:40:00.000Z,360,16
Set,2015-10-09T17:00:00.000Z,1100,16
Rise,2015-10-10T04:35:00.000Z,355,16
Set,2015-10-10T17:00:00.000Z,1100,16
