series,timestamp,value,label
Rise,2015-07-15T02:30:00.000Z,210,1
Set,2015-07-15T18:05:00.000Z,1145,1
Rise,2015-07-16T02:35:00.000Z,215,1
Set,2015-07-16T18:00:00.000Z,1140,1
Rise,2015-07-17T02:40:00.000Z,220,1
Set,2015-07-17T17:55:00.000Z,1135,discard
Rise,2015-07-18T02:35:00.000Z,215,1
Set,2015-07-18T18:15:00.000Z,1155,discard
Rise,2015-07-19T02:30:00.000Z,210,1
Set,2015-07-19T18:05:00.000Z,1145,1
Rise,2015-07-20T02:40:00.000Z,220,1
Set,2015-07-20T18:00:00.000Z,1140,1
Rise,2015-07-21T02:55:00.000Z,235,
Set,2015-07-21T18:00:00.000Z,1140,1
Rise,2015-07-22T02:30:00.000Z,210,
Set,2015-07-22T18:05:00.000Z,1145,discard
Rise,2015-07-23T02:45:00.000Z,225,1
Set,2015-07-23T17:55:00.000Z,1135,1
Rise,2015-07-24T02:50:00.000Z,230,1
Set,2015-07-24T17:55:00.000Z,1135,1
Rise,2015-07-25T03:05:00.000Z,245,1
Set,2015-07-25T18:00:00.000Z,1140,discard
Rise,2015-07-26T03:00:00.000Z,240,1
Set,2015-07-26T17:55:00.000Z,1135,1
Rise,2015-07-27T02:55:00.000Z,235,1
Set,2015-07-27T17:50:00.000Z,1130,1
Rise,2015-07-28T03:00:00.000Z,240,2
Set,2015-07-28T17:50:00.000Z,1130,2
Rise,2015-07-29T03:20:00.000Z,260,
Set,2015-07-29T17:55:00.000Z,1135,3
Rise,2015-07-30T03:05:00.000Z,245,3
Set,2015-07-30T17:45:00.000Z,1125,3
Rise,2015-07-31T03:00:00.000Z,240,3
Set,2015-07-31T17:40:00.000Z,1120,3
Rise,2015-08-01T03:00:00.000Z,240,3
Set,2015-08-01T17:35:00.000Z,1115,3
Rise,2015-08-02T03:05:00.000Z,245,4
Set,2015-08-02T17:45:00.000Z,1125,4
Rise,2015-08-03T03:05:00.000Z,245,4
Set,2015-08-03T17:45:00.000Z,1125,4
Rise,2015-08-04T03:25:00.000Z,265,5
Set,2015-08-04T17:50:00.000Z,1130,5
Rise,2015-08-05T03:15:00.000Z,255,
Set,2015-08-05T17:45:00.000Z,1125,5
Rise,2015-08-06T03:25:00.000Z,265,5
Set,2015-08-06T17:25:00.000Z,1105,discard
Rise,2015-08-07T03:30:00.000Z,270,5
Set,2015-08-07T17:50:00.000Z,1130,5
Rise,2015-08-08T03:20:00.000Z,260,5
Set,2015-08-08T17:40:00.000Z,1120,5
Rise,2015-08-09T03:05:00.000Z,245,
Set,2015-08-09T17:45:00.000Z,1125,5
Rise,2015-08-10T03:25:00.000Z,265,5
Set,2015-08-10T17:40:00.000Z,1120,5
Rise,2015-08-11T03:25:00.000Z,265,5
Set,2015-08-11T17:50:00.000Z,1130,5
Rise,2015-08-12T03:10:00.000Z,250,
Set,2015-08-12T17:40:00.000Z,1120,5
