series,timestamp,value,label
Rise,2015-07-15T02:35:00.000Z,215,1
Set,2015-07-15T18:05:00.000Z,1145,1
Rise,2015-07-16T02:35:00.000Z,215,1
Set,2015-07-16T18:00:00.000Z,1140,1
Rise,2015-07-17T02:35:00.000Z,215,1
Set,2015-07-17T18:05:00.000Z,1145,1
Rise,2015-07-18T02:30:00.000Z,210,2
Set,2015-07-18T17:45:00.000Z,1125,2
Rise,2015-07-19T02:30:00.000Z,210,3
Set,2015-07-19T18:00:00.000Z,1140,3
Rise,2015-07-20T02:25:00.000Z,205,3
Set,2015-07-20T18:05:00.000Z,1145,3
Rise,2015-07-21T02:30:00.000Z,210,4
Set,2015-07-21T18:20:00.000Z,1160,4
Rise,2015-07-22T02:40:00.000Z,220,5
Set,2015-07-22T18:05:00.000Z,1145,5
Rise,2015-07-23T02:35:00.000Z,215,5
Set,2015-07-23T18:15:00.000Z,1155,5
Rise,2015-07-24T02:55:00.000Z,235,6
Set,2015-07-24T18:05:00.000Z,1145,6
Rise,2015-07-25T02:55:00.000Z,235,7
Set,2015-07-25T17:50:00.000Z,1130,7
Rise,2015-07-26T03:05:00.000Z,245,8
Set,2015-07-26T17:55:00.000Z,1135,8
Rise,2015-07-27T02:50:00.000Z,230,8
Set,2015-07-27T18:00:00.000Z,1140,8
Rise,2015-07-28T02:50:00.000Z,230,8
Set,2015-07-28T17:55:00.000Z,1135,8
Rise,2015-07-29T02:45:00.000Z,225,8
Set,2015-07-29T17:45:00.000Z,1125,8
Rise,2015-07-30T02:45:00.000Z,225,8
Set,2015-07-30T18:00:00.000Z,1140,8
Rise,2015-07-31T02:45:00.000Z,225,8
Set,2015-07-31T17:50:00.000Z,1130,8
Rise,2015-08-01T02:55:00.000Z,235,8
Set,2015-08-01T17:55:00.000Z,1135,8
Rise,2015-08-02T02:45:00.000Z,225,8
Set,2015-08-02T17:45:00.000Z,1125,8
Rise,2015-08-03T03:00:00.000Z,240,8
Set,2015-08-03T17:50:00.000Z,1130,8
Rise,2015-08-04T03:00:00.000Z,240,8
Set,2015-08-04T17:45:00.000Z,1125,8
Rise,2015-08-05T03:05:00.000Z,245,8
Set,2015-08-05T17:35:00.000Z,1115,8
Rise,2015-08-06T02:55:00.000Z,235,8
Set,2015-08-06T17:45:00.000Z,1125,8
Rise,2015-08-07T03:10:00.000Z,250,8
Set,2015-08-07T17:35:00.000Z,1115,8
Rise,2015-08-08T03:00:00.000Z,240,8
Set,2015-08-08T17:40:00.000Z,1120,8
Rise,2015-08-09T03:10:00.000Z,250,8
Set,2015-08-09T17:40:00.000Z,1120,8
Rise,2015-08-10T03:10:00.000Z,250,8
Set,2015-08-10T17:40:00.000Z,1120,8
Rise,2015-08-11T03:10:00.000Z,250,8
Set,2015-08-11T17:40:00.000Z,1120,8
Rise,2015-08-12T03:15:00.000Z,255,8
Set,2015-08-12T17:40:00.000Z,1120,8
Rise,2015-08-13T03:20:00.000Z,260,8
Set,2015-08-13T17:40:00.000Z,1120,8
Rise,2015-08-14T02:55:00.000Z,235,8
Set,2015-08-14T17:35:00.000Z,1115,8
Rise,2015-08-15T03:15:00.000Z,255,8
Set,2015-08-15T17:35:00.000Z,1115,8
Rise,2015-08-16T03:05:00.000Z,245,8
Set,2015-08-16T17:30:00.000Z,1110,8
Rise,2015-08-17T03:10:00.000Z,250,8
Set,2015-08-17T17:40:00.000Z,1120,8
Rise,2015-08-18T03:05:00.000Z,245,8
Set,2015-08-18T17:25:00.000Z,1105,8
Rise,2015-08-19T03:20:00.000Z,260,8
Set,2015-08-19T17:20:00.000Z,1100,8
Rise,2015-08-20T03:30:00.000Z,270,9
Set,2015-08-20T17:00:00.000Z,1080,9
Rise,2015-08-21T03:05:00.000Z,245,9-5
Set,2015-08-21T16:50:00.000Z,1070,10
Rise,2015-08-22T03:20:00.000Z,260,11
Set,2015-08-22T16:50:00.000Z,1070,11
Rise,2015-08-23T03:40:00.000Z,280,11-5
Set,2015-08-23T16:35:00.000Z,1055,12
Rise,2015-08-24T04:00:00.000Z,300,13
Set,2015-08-24T16:50:00.000Z,1070,13
Rise,2015-08-25T04:15:00.000Z,315,14
Set,2015-08-25T16:25:00.000Z,1045,14
Rise,2015-08-26T04:30:00.000Z,330,discard
Set,2015-08-26T16:45:00.000Z,1065,14
Rise,2015-08-27T04:00:00.000Z,300,14
Set,2015-08-27T16:45:00.000Z,1065,14
Rise,2015-08-28T04:10:00.000Z,310,14
Set,2015-08-28T16:25:00.000Z,1045,14
Rise,2015-08-29T04:10:00.000Z,310,14
Set,2015-08-29T16:40:00.000Z,1060,14
Rise,2015-08-30T04:15:00.000Z,315,14
Set,2015-08-30T16:25:00.000Z,1045,14
Rise,2015-08-31T04:15:00.000Z,315,14
Set,2015-08-31T16:35:00.000Z,1055,14
Rise,2015-09-01T04:30:00.000Z,330,15
Set,2015-09-01T16:55:00.000Z,1075,15
Rise,2015-09-02T04:40:00.000Z,340,16
Set,2015-09-02T17:10:00.000Z,1090,16
Rise,2015-09-03T04:40:00.000Z,340,17
Set,2015-09-03T17:20:00.000Z,1100,17
Rise,2015-09-04T04:50:00.000Z,350,17
Set,2015-09-04T17:20:00.000Z,1100,17
Rise,2015-09-05T04:55:00.000Z,355,17
Set,2015-09-05T17:20:00.000Z,1100,17
Rise,2015-09-06T04:45:00.000Z,345,17
Set,2015-09-06T17:20:00.000Z,1100,17
Rise,2015-09-07T04:45:00.000Z,345,17
Set,2015-09-07T17:20:00.000Z,1100,17
Rise,2015-09-08T04:40:00.000Z,340,17
Set,2015-09-08T17:10:00.000Z,1090,17
Rise,2015-09-09T04:45:00.000Z,345,17
Set,2015-09-09T17:10:00.000Z,1090,17
Rise,2015-09-10T04:45:00.000Z,345,17
Set,2015-09-10T17:20:00.000Z,1100,17
Rise,2015-09-11T04:50:00.000Z,350,17
Set,2015-09-11T17:15:00.000Z,1095,17
Rise,2015-09-12T04:45:00.000Z,345,17
Set,2015-09-12T17:20:00.000Z,1100,17
Rise,2015-09-13T04:40:00.000Z,340,17
Set,2015-09-13T17:20:00.000Z,1100,17
Rise,2015-09-14T04:45:00.000Z,345,17
Set,2015-09-14T17:15:00.000Z,1095,17
Rise,2015-09-15T04:50:00.000Z,350,17
Set,2015-09-15T17:15:00.000Z,1095,17
Rise,2015-09-16T04:50:00.000Z,350,17
Set,2015-09-16T17:15:00.000Z,1095,17
Rise,2015-09-17T04:45:00.000Z,345,17
Set,2015-09-17T17:10:00.000Z,1090,17
Rise,2015-09-18T04:45:00.000Z,345,17
Set,2015-09-18T17:15:00.000Z,1095,17
Rise,2015-09-19T04:40:00.000Z,340,17
Set,2015-09-19T17:00:00.000Z,1080,17
Rise,2015-09-20T04:40:00.000Z,340,17
Set,2015-09-20T17:15:00.000Z,1095,17
Rise,2015-09-21T04:45:00.000Z,345,17
Set,2015-09-21T17:15:00.000Z,1095,17
Rise,2015-09-22T04:45:00.000Z,345,17
Set,2015-09-22T17:15:00.000Z,1095,17
Rise,2015-09-23T04:45:00.000Z,345,17
Set,2015-09-23T17:05:00.000Z,1085,17
Rise,2015-09-24T04:45:00.000Z,345,17
Set,2015-09-24T17:10:00.000Z,1090,17
Rise,2015-09-25T04:40:00.000Z,340,17
Set,2015-09-25T17:05:00.000Z,1085,17
