series,timestamp,value,label
Rise,2015-07-01T02:40:00.000Z,220,1
Set,2015-07-01T18:10:00.000Z,1150,1
Rise,2015-07-02T02:30:00.000Z,210,1
Set,2015-07-02T17:35:00.000Z,1115,1
Rise,2015-07-03T02:30:00.000Z,210,1
Set,2015-07-03T18:05:00.000Z,1145,1
Rise,2015-07-04T03:00:00.000Z,240,1
Set,2015-07-04T18:00:00.000Z,1140,1
Rise,2015-07-05T02:35:00.000Z,215,1
Set,2015-07-05T17:55:00.000Z,1135,1
Rise,2015-07-06T02:50:00.000Z,230,1
Set,2015-07-06T17:55:00.000Z,1135,1
Rise,2015-07-07T02:45:00.000Z,225,1
Set,2015-07-07T18:10:00.000Z,1150,1
Rise,2015-07-08T02:40:00.000Z,220,1
Set,2015-07-08T18:05:00.000Z,1145,1
Rise,2015-07-09T02:35:00.000Z,215,1
Set,2015-07-09T18:05:00.000Z,1145,1
Rise,2015-07-10T02:40:00.000Z,220,1
Set,2015-07-10T18:05:00.000Z,1145,1
Rise,2015-07-11T02:40:00.000Z,220,1
Set,2015-07-11T17:50:00.000Z,1130,1
Rise,2015-07-12T02:45:00.000Z,225,1
Set,2015-07-12T18:00:00.000Z,1140,1
Rise,2015-07-13T02:45:00.000Z,225,1
Set,2015-07-13T18:00:00.000Z,1140,1
Rise,2015-07-14T02:50:00.000Z,230,1
Set,2015-07-14T18:05:00.000Z,1145,1
Rise,2015-07-15T02:35:00.000Z,215,1
Set,2015-07-15T17:55:00.000Z,1135,1
Rise,2015-07-16T02:40:00.000Z,220,1
Set,2015-07-16T18:00:00.000Z,1140,1
Rise,2015-07-17T02:45:00.000Z,225,1
Set,2015-07-17T18:15:00.000Z,1155,1
Rise,2015-07-18T02:45:00.000Z,225,1
Set,2015-07-18T18:20:00.000Z,1160,1
Rise,2015-07-19T02:35:00.000Z,215,1
Set,2015-07-19T18:15:00.000Z,1155,1
Rise,2015-07-20T02:45:00.000Z,225,1
Set,2015-07-20T18:10:00.000Z,1150,1
Rise,2015-07-21T02:25:00.000Z,205,1
Set,2015-07-21T18:15:00.000Z,1155,1
Rise,2015-07-22T02:20:00.000Z,200,1
Set,2015-07-22T18:10:00.000Z,1150,1
Rise,2015-07-23T02:25:00.000Z,205,1
Set,2015-07-23T18:20:00.000Z,1160,1
Rise,2015-07-24T02:50:00.000Z,230,2
Set,2015-07-24T18:05:00.000Z,1145,2
Rise,2015-07-25T02:40:00.000Z,220,3
Set,2015-07-25T18:00:00.000Z,1140,3
Rise,2015-07-26T02:55:00.000Z,235,4
Set,2015-07-26T18:10:00.000Z,1150,4
Rise,2015-07-27T03:00:00.000Z,240,4
Set,2015-07-27T17:50:00.000Z,1130,4
Rise,2015-07-28T02:45:00.000Z,225,4
Set,2015-07-28T17:45:00.000Z,1125,4
Rise,2015-07-29T03:00:00.000Z,240,4
Set,2015-07-29T18:00:00.000Z,1140,4
Rise,2015-07-30T02:50:00.000Z,230,4
Set,2015-07-30T17:50:00.000Z,1130,4
Rise,2015-07-31T02:50:00.000Z,230,4
Set,2015-07-31T17:50:00.000Z,1130,4
Rise,2015-08-01T02:45:00.000Z,225,4
Set,2015-08-01T17:45:00.000Z,1125,4
Rise,2015-08-02T02:50:00.000Z,230,4
Set,2015-08-02T17:55:00.000Z,1135,4
Rise,2015-08-03T02:50:00.000Z,230,4
Set,2015-08-03T17:50:00.000Z,1130,4
Rise,2015-08-04T02:50:00.000Z,230,4
Set,2015-08-04T17:55:00.000Z,1135,4
Rise,2015-08-05T03:05:00.000Z,245,4
Set,2015-08-05T17:45:00.000Z,1125,4
Rise,2015-08-06T02:55:00.000Z,235,4
Set,2015-08-06T17:50:00.000Z,1130,4
Rise,2015-08-07T03:10:00.000Z,250,4
Set,2015-08-07T17:55:00.000Z,1135,4
Rise,2015-08-08T03:00:00.000Z,240,4
Set,2015-08-08T17:45:00.000Z,1125,4
Rise,2015-08-09T03:10:00.000Z,250,4
Set,2015-08-09T17:45:00.000Z,1125,4
Rise,2015-08-10T03:05:00.000Z,245,4
Set,2015-08-10T17:40:00.000Z,1120,4
Rise,2015-08-11T03:10:00.000Z,250,4
Set,2015-08-11T17:50:00.000Z,1130,4
Rise,2015-08-12T03:05:00.000Z,245,4
Set,2015-08-12T17:40:00.000Z,1120,4
Rise,2015-08-13T03:15:00.000Z,255,5
Set,2015-08-13T17:25:00.000Z,1105,5
Rise,2015-08-14T06:05:00.000Z,425,discard
Set,2015-08-14T16:15:00.000Z,1035,discard
Rise,2015-08-15T03:25:00.000Z,265,7
Set,2015-08-15T17:15:00.000Z,1095,
Rise,2015-08-16T03:40:00.000Z,280,8
Set,2015-08-16T16:45:00.000Z,1065,discard
Rise,2015-08-17T03:35:00.000Z,275,9
Set,2015-08-17T17:05:00.000Z,1085,9
Rise,2015-08-18T03:45:00.000Z,285,9-5
Set,2015-08-18T17:05:00.000Z,1085,10
Rise,2015-08-19T04:15:00.000Z,315,10-5
Set,2015-08-19T17:05:00.000Z,1085,11
Rise,2015-08-20T04:40:00.000Z,340,12
Set,2015-08-20T17:25:00.000Z,1105,12
Rise,2015-08-21T04:30:00.000Z,330,12
Set,2015-08-21T17:15:00.000Z,1095,12
Rise,2015-08-22T05:05:00.000Z,365,13
Set,2015-08-22T17:25:00.000Z,1105,13
Rise,2015-08-23T05:05:00.000Z,365,13
Set,2015-08-23T16:25:00.000Z,1045,discard
Rise,2015-08-24T05:00:00.000Z,360,13
Set,2015-08-24T17:20:00.000Z,1100,13
Rise,2015-08-25T04:50:00.000Z,350,13
Set,2015-08-25T17:15:00.000Z,1095,13
Rise,2015-08-26T04:45:00.000Z,345,13
Set,2015-08-26T16:50:00.000Z,1070,discard
Rise,2015-08-27T04:45:00.000Z,345,13
Set,2015-08-27T17:20:00.000Z,1100,13
Rise,2015-08-28T04:45:00.000Z,345,13
Set,2015-08-28T17:15:00.000Z,1095,13
Rise,2015-08-29T04:50:00.000Z,350,13
Set,2015-08-29T17:05:00.000Z,1085,13
Rise,2015-08-30T05:05:00.000Z,365,13
Set,2015-08-30T17:15:00.000Z,1095,13
Rise,2015-08-31T04:50:00.000Z,350,13
Set,2015-08-31T17:10:00.000Z,1090,13
Rise,2015-09-01T04:50:00.000Z,350,13
Set,2015-09-01T17:25:00.000Z,1105,13
Rise,2015-09-02T04:45:00.000Z,345,13
Set,2015-09-02T17:25:00.000Z,1105,13
Rise,2015-09-03T04:50:00.000Z,350,13
Set,2015-09-03T17:15:00.000Z,1095,13
Rise,2015-09-04T04:50:00.000Z,350,13
Set,2015-09-04T17:05:00.000Z,1085,13
Rise,2015-09-05T04:45:00.000Z,345,13
Set,2015-09-05T17:25:00.000Z,1105,13
Rise,2015-09-06T04:45:00.000Z,345,13
Set,2015-09-06T17:15:00.000Z,1095,13
Rise,2015-09-07T05:25:00.000Z,385,discard
Set,2015-09-07T17:20:00.000Z,1100,13
Rise,2015-09-08T04:45:00.000Z,345,13
Set,2015-09-08T17:20:00.000Z,1100,13
Rise,2015-09-09T04:45:00.000Z,345,13
Set,2015-09-09T17:20:00.000Z,1100,13
Rise,2015-09-10T04:45:00.000Z,345,13
Set,2015-09-10T17:20:00.000Z,1100,13
Rise,2015-09-11T04:55:00.000Z,355,13
Set,2015-09-11T17:15:00.000Z,1095,13
Rise,2015-09-12T04:45:00.000Z,345,13
Set,2015-09-12T17:15:00.000Z,1095,13
Rise,2015-09-13T04:55:00.000Z,355,13
Set,2015-09-13T17:10:00.000Z,1090,13
Rise,2015-09-14T04:50:00.000Z,350,13
Set,2015-09-14T17:05:00.000Z,1085,13
Rise,2015-09-15T05:00:00.000Z,360,13
Set,2015-09-15T17:15:00.000Z,1095,13
Rise,2015-09-16T04:55:00.000Z,355,13
Set,2015-09-16T17:15:00.000Z,1095,13
Rise,2015-09-17T04:50:00.000Z,350,13
Set,2015-09-17T17:10:00.000Z,1090,13
Rise,2015-09-18T04:50:00.000Z,350,13
Set,2015-09-18T17:10:00.000Z,1090,13
Rise,2015-09-19T04:45:00.000Z,345,13
Set,2015-09-19T17:05:00.000Z,1085,13
Rise,2015-09-20T04:45:00.000Z,345,13
Set,2015-09-20T17:10:00.000Z,1090,13
Rise,2015-09-21T04:50:00.000Z,350,13
Set,2015-09-21T17:10:00.000Z,1090,13
Rise,2015-09-22T04:45:00.000Z,345,13
Set,2015-09-22T17:15:00.000Z,1095,13
Rise,2015-09-23T04:45:00.000Z,345,13
Set,2015-09-23T17:00:00.000Z,1080,13
Rise,2015-09-24T04:40:00.000Z,340,13
Set,2015-09-24T17:10:00.000Z,1090,13
Rise,2015-09-25T04:45:00.000Z,345,13
Set,2015-09-25T17:10:00.000Z,1090,13
Rise,2015-09-26T04:45:00.000Z,345,13
Set,2015-09-26T17:05:00.000Z,1085,13
Rise,2015-09-27T04:40:00.000Z,340,13
Set,2015-09-27T17:10:00.000Z,1090,13
Rise,2015-09-28T04:55:00.000Z,355,13
Set,2015-09-28T17:00:00.000Z,1080,13
Rise,2015-09-29T04:45:00.000Z,345,13
Set,2015-09-29T17:00:00.000Z,1080,13
Rise,2015-09-30T04:50:00.000Z,350,13
Set,2015-09-30T17:05:00.000Z,1085,13
Rise,2015-10-01T04:45:00.000Z,345,13
Set,2015-10-01T17:00:00.000Z,1080,13
Rise,2015-10-02T04:55:00.000Z,355,13
Set,2015-10-02T17:05:00.000Z,1085,13
