series,timestamp,value,label
Rise,2015-07-01T02:45:00.000Z,225,1
Set,2015-07-01T18:00:00.000Z,1140,1
Rise,2015-07-02T02:30:00.000Z,210,1
Set,2015-07-02T17:50:00.000Z,1130,1
Rise,2015-07-03T02:20:00.000Z,200,1
Set,2015-07-03T18:00:00.000Z,1140,1
Rise,2015-07-04T03:05:00.000Z,245,1
Set,2015-07-04T18:05:00.000Z,1145,1
Rise,2015-07-05T02:25:00.000Z,205,1
Set,2015-07-05T17:50:00.000Z,1130,1
Rise,2015-07-06T02:10:00.000Z,190,1
Set,2015-07-06T18:00:00.000Z,1140,1
Rise,2015-07-07T02:40:00.000Z,220,1
Set,2015-07-07T18:05:00.000Z,1145,1
Rise,2015-07-08T02:35:00.000Z,215,1
Set,2015-07-08T18:15:00.000Z,1155,1
Rise,2015-07-09T02:25:00.000Z,205,1
Set,2015-07-09T18:00:00.000Z,1140,1
Rise,2015-07-10T02:40:00.000Z,220,1
Set,2015-07-10T18:05:00.000Z,1145,1
Rise,2015-07-11T02:40:00.000Z,220,1
Set,2015-07-11T18:00:00.000Z,1140,1
Rise,2015-07-12T02:35:00.000Z,215,1
Set,2015-07-12T18:00:00.000Z,1140,1
Rise,2015-07-13T02:50:00.000Z,230,1
Set,2015-07-13T17:50:00.000Z,1130,1
Rise,2015-07-14T03:00:00.000Z,240,2
Set,2015-07-14T17:55:00.000Z,1135,2
Rise,2015-07-15T02:35:00.000Z,215,2
Set,2015-07-15T17:50:00.000Z,1130,2
Rise,2015-07-16T02:45:00.000Z,225,3
Set,2015-07-16T17:55:00.000Z,1135,3
Rise,2015-07-17T02:45:00.000Z,225,4
Set,2015-07-17T17:45:00.000Z,1125,4
Rise,2015-07-18T02:50:00.000Z,230,5
Set,2015-07-18T17:50:00.000Z,1130,5
Rise,2015-07-19T02:45:00.000Z,225,5
Set,2015-07-19T18:00:00.000Z,1140,5
Rise,2015-07-20T02:45:00.000Z,225,6
Set,2015-07-20T17:55:00.000Z,1135,6
Rise,2015-07-21T02:40:00.000Z,220,6
Set,2015-07-21T18:00:00.000Z,1140,6
Rise,2015-07-22T02:55:00.000Z,235,6
Set,2015-07-22T18:00:00.000Z,1140,6
Rise,2015-07-23T02:40:00.000Z,220,6
Set,2015-07-23T17:50:00.000Z,1130,6
Rise,2015-07-24T02:30:00.000Z,210,6
Set,2015-07-24T18:10:00.000Z,1150,6
Rise,2015-07-25T02:45:00.000Z,225,6
Set,2015-07-25T17:55:00.000Z,1135,6
Rise,2015-07-26T02:45:00.000Z,225,6
Set,2015-07-26T17:55:00.000Z,1135,6
Rise,2015-07-27T02:50:00.000Z,230,6
Set,2015-07-27T17:45:00.000Z,1125,6
Rise,2015-07-28T03:00:00.000Z,240,6
Set,2015-07-28T17:45:00.000Z,1125,6
Rise,2015-07-29T02:55:00.000Z,235,6
Set,2015-07-29T18:00:00.000Z,1140,6
Rise,2015-07-30T02:45:00.000Z,225,6
Set,2015-07-30T17:55:00.000Z,1135,6
Rise,2015-07-31T03:05:00.000Z,245,6
Set,2015-07-31T17:25:00.000Z,1105,6
Rise,2015-08-01T03:15:00.000Z,255,6
Set,2015-08-01T17:45:00.000Z,1125,6
Rise,2015-08-02T02:50:00.000Z,230,6
Set,2015-08-02T17:40:00.000Z,1120,6
Rise,2015-08-03T02:50:00.000Z,230,6
Set,2015-08-03T17:55:00.000Z,1135,6
Rise,2015-08-04T02:45:00.000Z,225,6
Set,2015-08-04T17:45:00.000Z,1125,6
Rise,2015-08-05T02:40:00.000Z,220,6
Set,2015-08-05T17:50:00.000Z,1130,6
Rise,2015-08-06T02:55:00.000Z,235,6
Set,2015-08-06T17:50:00.000Z,1130,6
Rise,2015-08-07T02:40:00.000Z,220,6
Set,2015-08-07T17:50:00.000Z,1130,6
Rise,2015-08-08T02:40:00.000Z,220,6
Set,2015-08-08T17:50:00.000Z,1130,6
Rise,2015-08-09T02:40:00.000Z,220,6
Set,2015-08-09T17:40:00.000Z,1120,6
Rise,2015-08-10T03:00:00.000Z,240,6
Set,2015-08-10T17:40:00.000Z,1120,6
Rise,2015-08-11T03:05:00.000Z,245,6
Set,2015-08-11T17:40:00.000Z,1120,6
Rise,2015-08-12T02:55:00.000Z,235,6
Set,2015-08-12T17:40:00.000Z,1120,6
Rise,2015-08-13T03:10:00.000Z,250,7
Set,2015-08-13T17:35:00.000Z,1115,7
Rise,2015-08-14T03:10:00.000Z,250,8
Set,2015-08-14T17:05:00.000Z,1085,8
Rise,2015-08-15T03:35:00.000Z,275,9
Set,2015-08-15T17:20:00.000Z,1100,9
Rise,2015-08-16T03:15:00.000Z,255,10
Set,2015-08-16T17:10:00.000Z,1090,10
Rise,2015-08-17T03:10:00.000Z,250,10
Set,2015-08-17T17:10:00.000Z,1090,10
Rise,2015-08-18T03:15:00.000Z,255,10
Set,2015-08-18T17:15:00.000Z,1095,10
Rise,2015-08-19T03:20:00.000Z,260,11
Set,2015-08-19T17:05:00.000Z,1085,11
Rise,2015-08-20T03:00:00.000Z,240,11-5
Set,2015-08-20T16:25:00.000Z,1045,12
Rise,2015-08-21T03:20:00.000Z,260,12
Set,2015-08-21T16:35:00.000Z,1055,12
Rise,2015-08-22T03:05:00.000Z,245,13
Set,2015-08-22T16:50:00.000Z,1070,13
Rise,2015-08-23T03:15:00.000Z,255,13
Set,2015-08-23T16:45:00.000Z,1065,13
Rise,2015-08-24T03:05:00.000Z,245,13
Set,2015-08-24T16:50:00.000Z,1070,13
Rise,2015-08-25T03:20:00.000Z,260,13
Set,2015-08-25T16:35:00.000Z,1055,13
Rise,2015-08-26T03:15:00.000Z,255,13
Set,2015-08-26T16:45:00.000Z,1065,13
Rise,2015-08-27T03:35:00.000Z,275,13
Set,2015-08-27T16:30:00.000Z,1050,13
Rise,2015-08-28T03:20:00.000Z,260,13
Set,2015-08-28T16:35:00.000Z,1055,13
Rise,2015-08-29T03:25:00.000Z,265,13
Set,2015-08-29T16:40:00.000Z,1060,13
Rise,2015-08-30T03:20:00.000Z,260,14
Set,2015-08-30T16:35:00.000Z,1055,14
Rise,2015-08-31T03:35:00.000Z,275,15
Set,2015-08-31T16:20:00.000Z,1040,15
Rise,2015-09-01T04:05:00.000Z,305,16
Set,2015-09-01T16:15:00.000Z,1035,16
Rise,2015-09-02T04:00:00.000Z,300,17
Set,2015-09-02T16:15:00.000Z,1035,17
Rise,2015-09-03T04:00:00.000Z,300,18
Set,2015-09-03T16:10:00.000Z,1030,18
Rise,2015-09-04T03:50:00.000Z,290,19
Set,2015-09-04T16:20:00.000Z,1040,19
Rise,2015-09-05T03:50:00.000Z,290,20
Set,2015-09-05T16:20:00.000Z,1040,20
Rise,2015-09-06T03:55:00.000Z,295,21
Set,2015-09-06T16:20:00.000Z,1040,21
Rise,2015-09-07T04:00:00.000Z,300,21
Set,2015-09-07T16:00:00.000Z,1020,21
Rise,2015-09-08T03:50:00.000Z,290,21
Set,2015-09-08T16:00:00.000Z,1020,21
Rise,2015-09-09T03:55:00.000Z,295,21
Set,2015-09-09T16:15:00.000Z,1035,21
Rise,2015-09-10T04:00:00.000Z,300,22
Set,2015-09-10T16:15:00.000Z,1035,22
Rise,2015-09-11T03:55:00.000Z,295,22
Set,2015-09-11T16:10:00.000Z,1030,22
Rise,2015-09-12T04:05:00.000Z,305,22
Set,2015-09-12T16:10:00.000Z,1030,22
Rise,2015-09-13T03:40:00.000Z,280,23
Set,2015-09-13T16:15:00.000Z,1035,23
Rise,2015-09-14T03:50:00.000Z,290,25
Set,2015-09-14T16:00:00.000Z,1020,25
Rise,2015-09-15T03:55:00.000Z,295,26
Set,2015-09-15T16:15:00.000Z,1035,26
Rise,2015-09-16T03:40:00.000Z,280,26
Set,2015-09-16T15:50:00.000Z,1010,26
Rise,2015-09-17T03:50:00.000Z,290,26
Set,2015-09-17T15:10:00.000Z,970,discard
Rise,2015-09-18T03:45:00.000Z,285,26
Set,2015-09-18T16:05:00.000Z,1025,26
Rise,2015-09-19T03:40:00.000Z,280,26
Set,2015-09-19T16:05:00.000Z,1025,26
Rise,2015-09-20T03:40:00.000Z,280,26
Set,2015-09-20T16:00:00.000Z,1020,26
Rise,2015-09-21T03:40:00.000Z,280,26
Set,2015-09-21T15:15:00.000Z,975,discard
Rise,2015-09-22T03:55:00.000Z,295,26
Set,2015-09-22T15:45:00.000Z,1005,26
Rise,2015-09-23T03:40:00.000Z,280,26
Set,2015-09-23T16:05:00.000Z,1025,26
Rise,2015-09-24T03:35:00.000Z,275,26
Set,2015-09-24T15:55:00.000Z,1015,26
Rise,2015-09-25T03:40:00.000Z,280,26
Set,2015-09-25T15:45:00.000Z,1005,26
Rise,2015-09-26T03:40:00.000Z,280,26
Set,2015-09-26T16:00:00.000Z,1020,26
Rise,2015-09-27T03:40:00.000Z,280,26
Set,2015-09-27T16:00:00.000Z,1020,26
Rise,2015-09-28T03:35:00.000Z,275,26
Set,2015-09-28T16:00:00.000Z,1020,26
Rise,2015-09-29T03:40:00.000Z,280,26
Set,2015-09-29T15:55:00.000Z,1015,26
Rise,2015-09-30T03:40:00.000Z,280,26
Set,2015-09-30T15:40:00.000Z,1000,26
Rise,2015-10-01T03:40:00.000Z,280,26
Set,2015-10-01T15:30:00.000Z,990,discard
Rise,2015-10-02T03:40:00.000Z,280,26
Set,2015-10-02T16:00:00.000Z,1020,26
Rise,2015-10-03T03:40:00.000Z,280,26
Set,2015-10-03T15:55:00.000Z,1015,26
Rise,2015-10-04T03:40:00.000Z,280,26
Set,2015-10-04T15:55:00.000Z,1015,26
Rise,2015-10-05T03:35:00.000Z,275,26
Set,2015-10-05T16:00:00.000Z,1020,26
Rise,2015-10-06T03:40:00.000Z,280,26
Set,2015-10-06T15:55:00.000Z,1015,26
Rise,2015-10-07T03:40:00.000Z,280,26
Set,2015-10-07T15:50:00.000Z,1010,26
Rise,2015-10-08T03:40:00.000Z,280,26
Set,2015-10-08T15:55:00.000Z,1015,26
Rise,2015-10-09T03:35:00.000Z,275,26
Set,2015-10-09T15:50:00.000Z,1010,26
Rise,2015-10-10T03:30:00.000Z,270,26
Set,2015-10-10T15:55:00.000Z,1015,26
Rise,2015-10-11T03:35:00.000Z,275,26
Set,2015-10-11T15:40:00.000Z,1000,26
Rise,2015-10-12T03:35:00.000Z,275,26
Set,2015-10-12T15:40:00.000Z,1000,26
Rise,2015-10-13T03:30:00.000Z,270,26
Set,2015-10-13T15:45:00.000Z,1005,26
Rise,2015-10-14T03:35:00.000Z,275,26
Set,2015-10-14T15:45:00.000Z,1005,26
Rise,2015-10-15T03:35:00.000Z,275,26
Set,2015-10-15T15:35:00.000Z,995,26
Rise,2015-10-16T03:35:00.000Z,275,26
Set,2015-10-16T15:50:00.000Z,1010,26
Rise,2015-10-17T03:45:00.000Z,285,26
Set,2015-10-17T15:50:00.000Z,1010,26
Rise,2015-10-18T03:40:00.000Z,280,26
Set,2015-10-18T15:20:00.000Z,980,discard
Rise,2015-10-19T03:45:00.000Z,285,26
Set,2015-10-19T15:45:00.000Z,1005,26
Rise,2015-10-20T03:40:00.000Z,280,26
Set,2015-10-20T15:45:00.000Z,1005,26
Rise,2015-10-21T03:45:00.000Z,285,26
Set,2015-10-21T15:45:00.000Z,1005,26
Rise,2015-10-22T03:40:00.000Z,280,26
Set,2015-10-22T15:10:00.000Z,970,discard
Rise,2015-10-23T03:45:00.000Z,285,26
Set,2015-10-23T15:40:00.000Z,1000,26
Rise,2015-10-24T03:40:00.000Z,280,26
Set,2015-10-24T15:40:00.000Z,1000,26
Rise,2015-10-25T03:40:00.000Z,280,26
Set,2015-10-25T15:40:00.000Z,1000,26
Rise,2015-10-26T03:40:00.000Z,280,26
Set,2015-10-26T15:45:00.000Z,1005,26
Rise,2015-10-27T03:40:00.000Z,280,26
Set,2015-10-27T15:45:00.000Z,1005,26
Rise,2015-10-28T03:35:00.000Z,275,26
Set,2015-10-28T15:40:00.000Z,1000,26
Rise,2015-10-29T03:40:00.000Z,280,26
Set,2015-10-29T15:40:00.000Z,1000,26
Rise,2015-10-30T03:45:00.000Z,285,26
Set,2015-10-30T15:45:00.000Z,1005,26
Rise,2015-10-31T03:40:00.000Z,280,26
Set,2015-10-31T15:45:00.000Z,1005,26
Rise,2015-11-01T03:35:00.000Z,275,26
Set,2015-11-01T15:40:00.000Z,1000,26
Rise,2015-11-02T03:40:00.000Z,280,26
Set,2015-11-02T15:40:00.000Z,1000,26
Rise,2015-11-03T03:45:00.000Z,285,26
Set,2015-11-03T15:30:00.000Z,990,26
Rise,2015-11-04T03:45:00.000Z,285,26
Set,2015-11-04T15:35:00.000Z,995,26
Rise,2015-11-05T03:45:00.000Z,285,26
Set,2015-11-05T15:40:00.000Z,1000,26
Rise,2015-11-06T03:45:00.000Z,285,26
Set,2015-11-06T15:30:00.000Z,990,26
Rise,2015-11-07T03:40:00.000Z,280,26
Set,2015-11-07T15:40:00.000Z,1000,26
Rise,2015-11-08T03:50:00.000Z,290,26
Set,2015-11-08T15:40:00.000Z,1000,26
Rise,2015-11-09T03:50:00.000Z,290,26
Set,2015-11-09T15:35:00.000Z,995,26
Rise,2015-11-10T03:45:00.000Z,285,26
Set,2015-11-10T15:40:00.000Z,1000,26
Rise,2015-11-11T03:45:00.000Z,285,26
Set,2015-11-11T15:35:00.000Z,995,26
Rise,2015-11-12T03:45:00.000Z,285,26
Set,2015-11-12T15:30:00.000Z,990,26
Rise,2015-11-13T03:45:00.000Z,285,26
Set,2015-11-13T15:40:00.000Z,1000,26
Rise,2015-11-14T03:50:00.000Z,290,26
Set,2015-11-14T15:40:00.000Z,1000,26
Rise,2015-11-15T03:45:00.000Z,285,26
Set,2015-11-15T15:40:00.000Z,1000,26
Rise,2015-11-16T03:45:00.000Z,285,26
Set,2015-11-16T15:40:00.000Z,1000,26
Rise,2015-11-17T03:55:00.000Z,295,26
Set,2015-11-17T15:40:00.000Z,1000,26
Rise,2015-11-18T03:45:00.000Z,285,26
Set,2015-11-18T15:45:00.000Z,1005,26
Rise,2015-11-19T04:00:00.000Z,300,27
Set,2015-11-19T15:40:00.000Z,1000,27
Rise,2015-11-20T03:55:00.000Z,295,28
Set,2015-11-20T15:45:00.000Z,1005,28
Rise,2015-11-21T03:50:00.000Z,290,29
Set,2015-11-21T15:40:00.000Z,1000,29
Rise,2015-11-22T04:15:00.000Z,315,29
Set,2015-11-22T15:45:00.000Z,1005,29
Rise,2015-11-23T03:55:00.000Z,295,29
Set,2015-11-23T15:40:00.000Z,1000,29
Rise,2015-11-24T04:10:00.000Z,310,29
Set,2015-11-24T15:55:00.000Z,1015,29
Rise,2015-11-25T03:55:00.000Z,295,29
Set,2015-11-25T15:45:00.000Z,1005,29
Rise,2015-11-26T03:55:00.000Z,295,29
Set,2015-11-26T16:00:00.000Z,1020,29
Rise,2015-11-27T04:20:00.000Z,320,30
Set,2015-11-27T16:10:00.000Z,1030,30
Rise,2015-11-28T04:45:00.000Z,345,31
Set,2015-11-28T16:00:00.000Z,1020,31
Rise,2015-11-29T04:20:00.000Z,320,32
Set,2015-11-29T16:20:00.000Z,1040,32
Rise,2015-11-30T04:40:00.000Z,340,33
Set,2015-11-30T16:25:00.000Z,1045,33
Rise,2015-12-01T04:40:00.000Z,340,33
Set,2015-12-01T16:25:00.000Z,1045,33
Rise,2015-12-02T04:35:00.000Z,335,33
Set,2015-12-02T16:30:00.000Z,1050,33
Rise,2015-12-03T04:55:00.000Z,355,33
Set,2015-12-03T16:30:00.000Z,1050,33
Rise,2015-12-04T04:35:00.000Z,335,33
Set,2015-12-04T16:20:00.000Z,1040,33
Rise,2015-12-05T04:50:00.000Z,350,33
Set,2015-12-05T16:10:00.000Z,1030,33
Rise,2015-12-06T04:35:00.000Z,335,33
Set,2015-12-06T16:35:00.000Z,1055,33
Rise,2015-12-07T04:30:00.000Z,330,33
Set,2015-12-07T16:35:00.000Z,1055,33
Rise,2015-12-08T04:20:00.000Z,320,33
Set,2015-12-08T16:35:00.000Z,1055,33
Rise,2015-12-09T04:45:00.000Z,345,33
Set,2015-12-09T16:35:00.000Z,1055,33
Rise,2015-12-10T04:25:00.000Z,325,33
Set,2015-12-10T16:15:00.000Z,1035,33
Rise,2015-12-11T04:30:00.000Z,330,33
Set,2015-12-11T16:35:00.000Z,1055,33
Rise,2015-12-12T04:30:00.000Z,330,33
Set,2015-12-12T16:15:00.000Z,1035,33
Rise,2015-12-13T04:40:00.000Z,340,33
Set,2015-12-13T16:35:00.000Z,1055,33
Rise,2015-12-14T04:35:00.000Z,335,33
Set,2015-12-14T16:35:00.000Z,1055,33
Rise,2015-12-15T04:25:00.000Z,325,33
Set,2015-12-15T16:20:00.000Z,1040,33
Rise,2015-12-16T04:40:00.000Z,340,33
Set,2015-12-16T16:40:00.000Z,1060,33
Rise,2015-12-17T04:35:00.000Z,335,33
Set,2015-12-17T15:45:00.000Z,1005,33
Rise,2015-12-18T04:55:00.000Z,355,33
Set,2015-12-18T16:35:00.000Z,1055,33
Rise,2015-12-19T04:25:00.000Z,325,33
Set,2015-12-19T15:55:00.000Z,1015,33
Rise,2015-12-20T04:40:00.000Z,340,33
Set,2015-12-20T15:55:00.000Z,1015,33
Rise,2015-12-21T04:35:00.000Z,335,33
Set,2015-12-21T16:05:00.000Z,1025,33
Rise,2015-12-22T05:05:00.000Z,365,33
Set,2015-12-22T16:35:00.000Z,1055,33
Rise,2015-12-23T04:40:00.000Z,340,33
Set,2015-12-23T16:35:00.000Z,1055,33
Rise,2015-12-24T04:50:00.000Z,350,33
Set,2015-12-24T16:35:00.000Z,1055,33
Rise,2015-12-25T04:40:00.000Z,340,33
Set,2015-12-25T16:40:00.000Z,1060,33
Rise,2015-12-26T04:55:00.000Z,355,33
Set,2015-12-26T16:35:00.000Z,1055,33
Rise,2015-12-27T04:55:00.000Z,355,33
Set,2015-12-27T16:05:00.000Z,1025,33
Rise,2015-12-28T04:35:00.000Z,335,33
Set,2015-12-28T16:40:00.000Z,1060,33
Rise,2015-12-29T04:50:00.000Z,350,33
Set,2015-12-29T16:45:00.000Z,1065,33
Rise,2015-12-30T04:35:00.000Z,335,33
Set,2015-12-30T16:05:00.000Z,1025,33
Rise,2015-12-31T04:55:00.000Z,355,33
Set,2015-12-31T16:20:00.000Z,1040,33
