"series","timestamp","value","label"
"Rise","2015-07-15T02:25:00Z",205,"1"
"Set","2015-07-15T18:10:00Z",1150,"1"
"Rise","2015-07-16T02:35:00Z",215,"1"
"Set","2015-07-16T18:05:00Z",1145,"1"
"Rise","2015-07-17T02:35:00Z",215,"1"
"Set","2015-07-17T18:05:00Z",1145,"1"
"Rise","2015-07-18T02:35:00Z",215,"1"
"Set","2015-07-18T18:05:00Z",1145,"1"
"Rise","2015-07-19T02:45:00Z",225,"1"
"Set","2015-07-19T18:05:00Z",1145,"1"
"Rise","2015-07-20T02:30:00Z",210,"1"
"Set","2015-07-20T18:00:00Z",1140,"1"
"Rise","2015-07-21T02:35:00Z",215,"1"
"Set","2015-07-21T18:05:00Z",1145,"1"
"Rise","2015-07-22T02:35:00Z",215,"1"
"Set","2015-07-22T18:05:00Z",1145,"1"
"Rise","2015-07-23T02:45:00Z",225,"1"
"Set","2015-07-23T18:00:00Z",1140,"1"
"Rise","2015-07-24T02:45:00Z",225,"1"
"Set","2015-07-24T18:05:00Z",1145,"1"
"Rise","2015-07-25T02:30:00Z",210,"1"
"Set","2015-07-25T17:50:00Z",1130,"1"
"Rise","2015-07-26T02:40:00Z",220,"1"
"Set","2015-07-26T17:35:00Z",1115,"1"
"Rise","2015-07-27T02:50:00Z",230,"1"
"Set","2015-07-27T17:40:00Z",1120,"1"
"Rise","2015-07-28T03:00:00Z",240,"1"
"Set","2015-07-28T17:40:00Z",1120,"1"
"Rise","2015-07-29T02:55:00Z",235,"1"
"Set","2015-07-29T17:55:00Z",1135,"1"
"Rise","2015-07-30T03:00:00Z",240,"1"
"Set","2015-07-30T17:50:00Z",1130,"1"
"Rise","2015-07-31T02:55:00Z",235,"1"
"Set","2015-07-31T17:50:00Z",1130,"1"
"Rise","2015-08-01T03:05:00Z",245,"1"
"Set","2015-08-01T17:30:00Z",1110,"1"
"Rise","2015-08-02T02:45:00Z",225,"1"
"Set","2015-08-02T17:30:00Z",1110,"1"
"Rise","2015-08-03T02:55:00Z",235,"1"
"Set","2015-08-03T17:40:00Z",1120,"1"
"Rise","2015-08-04T02:45:00Z",225,"1"
"Set","2015-08-04T17:30:00Z",1110,"1"
"Rise","2015-08-05T02:55:00Z",235,"1"
"Set","2015-08-05T17:40:00Z",1120,"1"
"Rise","2015-08-06T03:00:00Z",240,"1"
"Set","2015-08-06T17:35:00Z",1115,"1"
"Rise","2015-08-07T02:50:00Z",230,"1"
"Set","2015-08-07T17:40:00Z",1120,"1"
"Rise","2015-08-08T02:50:00Z",230,"1"
"Set","2015-08-08T17:25:00Z",1105,"1"
"Rise","2015-08-09T02:50:00Z",230,"1"
"Set","2015-08-09T17:30:00Z",1110,"1"
"Rise","2015-08-10T02:55:00Z",235,"1"
"Set","2015-08-10T17:35:00Z",1115,"1"
"Rise","2015-08-11T02:50:00Z",230,"1"
"Set","2015-08-11T17:35:00Z",1115,"1"
"Rise","2015-08-12T03:00:00Z",240,"1"
"Set","2015-08-12T17:30:00Z",1110,"1"
"Rise","2015-08-13T02:55:00Z",235,"1"
"Set","2015-08-13T17:45:00Z",1125,"1"
"Rise","2015-08-14T03:05:00Z",245,"1"
"Set","2015-08-14T17:25:00Z",1105,"1"
"Rise","2015-08-15T02:55:00Z",235,"1"
"Set","2015-08-15T17:40:00Z",1120,"1"
"Rise","2015-08-16T02:55:00Z",235,"1"
"Set","2015-08-16T17:35:00Z",1115,"1"
"Rise","2015-08-17T03:00:00Z",240,"1"
"Set","2015-08-17T17:35:00Z",1115,"1"
"Rise","2015-08-18T03:05:00Z",245,"1"
"Set","2015-08-18T17:20:00Z",1100,"1"
"Rise","2015-08-19T03:25:00Z",265,"1"
"Set","2015-08-19T17:20:00Z",1100,"1"
"Rise","2015-08-20T03:20:00Z",260,"1"
"Set","2015-08-20T17:25:00Z",1105,"1"
"Rise","2015-08-21T03:30:00Z",270,"1"
"Set","2015-08-21T17:10:00Z",1090,"1"
"Rise","2015-08-22T03:10:00Z",250,"1"
"Set","2015-08-22T17:10:00Z",1090,"1"
"Rise","2015-08-23T03:15:00Z",255,"1"
"Set","2015-08-23T17:25:00Z",1105,"1"
"Rise","2015-08-24T03:15:00Z",255,"1"
"Set","2015-08-24T17:15:00Z",1095,"1"
"Rise","2015-08-25T03:20:00Z",260,"2"
"Set","2015-08-25T17:05:00Z",1085,"2"
"Rise","2015-08-26T03:15:00Z",255,"2-5"
"Set","2015-08-26T16:50:00Z",1070,"3"
"Rise","2015-08-27T03:45:00Z",285,"4"
"Set","2015-08-27T16:55:00Z",1075,"4"
"Rise","2015-08-28T03:45:00Z",285,"4-5"
"Set","2015-08-28T16:30:00Z",1050,"5"
"Rise","2015-08-29T04:15:00Z",315,"6"
"Set","2015-08-29T16:35:00Z",1055,"6"
"Rise","2015-08-30T04:30:00Z",330,"7"
"Set","2015-08-30T17:10:00Z",1090,"7"
"Rise","2015-08-31T04:30:00Z",330,"7"
"Set","2015-08-31T16:55:00Z",1075,"7"
"Rise","2015-09-01T04:30:00Z",330,"7"
"Set","2015-09-01T17:10:00Z",1090,"7"
"Rise","2015-09-02T04:55:00Z",355,"8"
"Set","2015-09-02T17:20:00Z",1100,"8"
"Rise","2015-09-03T04:45:00Z",345,"9"
"Set","2015-09-03T17:15:00Z",1095,"9"
"Rise","2015-09-04T04:40:00Z",340,"9"
"Set","2015-09-04T17:10:00Z",1090,"9"
"Rise","2015-09-05T04:50:00Z",350,"10"
"Set","2015-09-05T17:20:00Z",1100,"10"
"Rise","2015-09-06T04:35:00Z",335,"10"
"Set","2015-09-06T17:20:00Z",1100,"10"
"Rise","2015-09-07T04:45:00Z",345,"10"
"Set","2015-09-07T17:20:00Z",1100,"10"
"Rise","2015-09-08T04:40:00Z",340,"10"
"Set","2015-09-08T17:15:00Z",1095,"10"
"Rise","2015-09-09T04:40:00Z",340,"10"
"Set","2015-09-09T17:10:00Z",1090,"10"
"Rise","2015-09-10T04:40:00Z",340,"10"
"Set","2015-09-10T17:20:00Z",1100,"10"
"Rise","2015-09-11T04:45:00Z",345,"10"
"Set","2015-09-11T17:20:00Z",1100,"10"
"Rise","2015-09-12T04:35:00Z",335,"10"
"Set","2015-09-12T17:20:00Z",1100,"10"
"Rise","2015-09-13T04:40:00Z",340,"10"
"Set","2015-09-13T17:15:00Z",1095,"10"
"Rise","2015-09-14T04:40:00Z",340,"10"
"Set","2015-09-14T17:10:00Z",1090,"10"
"Rise","2015-09-15T04:45:00Z",345,"10"
"Set","2015-09-15T17:10:00Z",1090,"10"
"Rise","2015-09-16T04:40:00Z",340,"10"
"Set","2015-09-16T17:10:00Z",1090,"10"
"Rise","2015-09-17T04:40:00Z",340,"10"
"Set","2015-09-17T17:10:00Z",1090,"10"
"Rise","2015-09-18T04:40:00Z",340,"10"
"Set","2015-09-18T17:05:00Z",1085,"10"
"Rise","2015-09-19T04:30:00Z",330,"10"
"Set","2015-09-19T17:00:00Z",1080,"10"
"Rise","2015-09-20T04:40:00Z",340,"10"
"Set","2015-09-20T17:10:00Z",1090,"10"
"Rise","2015-09-21T04:40:00Z",340,"10"
"Set","2015-09-21T17:05:00Z",1085,"10"
"Rise","2015-09-22T04:40:00Z",340,"10"
"Set","2015-09-22T17:05:00Z",1085,"10"
"Rise","2015-09-23T04:40:00Z",340,"10"
"Set","2015-09-23T17:05:00Z",1085,"10"
"Rise","2015-09-24T04:35:00Z",335,"10"
"Set","2015-09-24T17:10:00Z",1090,"10"
"Rise","2015-09-25T04:35:00Z",335,"10"
"Set","2015-09-25T16:55:00Z",1075,"10"
"Rise","2015-09-26T04:40:00Z",340,"10"
"Set","2015-09-26T17:05:00Z",1085,"10"
"Rise","2015-09-27T04:40:00Z",340,"10"
"Set","2015-09-27T17:05:00Z",1085,"10"
"Rise","2015-09-28T04:40:00Z",340,"10"
"Set","2015-09-28T17:00:00Z",1080,"10"
"Rise","2015-09-29T04:35:00Z",335,"10"
"Set","2015-09-29T17:00:00Z",1080,"10"
"Rise","2015-09-30T04:45:00Z",345,"10"
"Set","2015-09-30T17:05:00Z",1085,"10"
"Rise","2015-10-01T04:40:00Z",340,"10"
"Set","2015-10-01T17:05:00Z",1085,"10"
"Rise","2015-10-02T04:35:00Z",335,"10"
"Set","2015-10-02T16:55:00Z",1075,"10"
"Rise","2015-10-03T04:40:00Z",340,"10"
"Set","2015-10-03T16:55:00Z",1075,"10"
"Rise","2015-10-04T04:40:00Z",340,"10"
"Set","2015-10-04T16:55:00Z",1075,"10"
"Rise","2015-10-05T04:45:00Z",345,"10"
"Set","2015-10-05T16:50:00Z",1070,"10"
"Rise","2015-10-06T04:40:00Z",340,"10"
"Set","2015-10-06T16:45:00Z",1065,"10"
"Rise","2015-10-07T04:45:00Z",345,"10"
"Set","2015-10-07T16:45:00Z",1065,"10"
"Rise","2015-10-08T04:40:00Z",340,"10"
"Set","2015-10-08T16:50:00Z",1070,"10"
"Rise","2015-10-09T04:40:00Z",340,"10"
"Set","2015-10-09T17:00:00Z",1080,"10"
"Rise","2015-10-10T04:35:00Z",335,"10"
"Set","2015-10-10T16:45:00Z",1065,"10"
"Rise","2015-10-11T04:35:00Z",335,"10"
"Set","2015-10-11T16:40:00Z",1060,"10"
"Rise","2015-10-12T04:40:00Z",340,"10"
"Set","2015-10-12T16:50:00Z",1070,"10"
"Rise","2015-10-13T04:40:00Z",340,"10"
"Set","2015-10-13T17:00:00Z",1080,"10"
"Rise","2015-10-14T04:40:00Z",340,"10"
"Set","2015-10-14T16:50:00Z",1070,"10"
"Rise","2015-10-15T04:40:00Z",340,"10"
"Set","2015-10-15T16:50:00Z",1070,"10"
"Rise","2015-10-16T04:40:00Z",340,"10"
"Set","2015-10-16T16:45:00Z",1065,"10"
"Rise","2015-10-17T04:50:00Z",350,"10"
"Set","2015-10-17T16:40:00Z",1060,"10"
"Rise","2015-10-18T04:50:00Z",350,"10"
"Set","2015-10-18T16:45:00Z",1065,"10"
"Rise","2015-10-19T04:40:00Z",340,"10"
"Set","2015-10-19T16:50:00Z",1070,"10"
"Rise","2015-10-20T04:35:00Z",335,"10"
"Set","2015-10-20T16:50:00Z",1070,"10"
"Rise","2015-10-21T04:30:00Z",330,"10"
"Set","2015-10-21T16:50:00Z",1070,"10"
"Rise","2015-10-22T04:35:00Z",335,"10"
"Set","2015-10-22T16:50:00Z",1070,"10"
"Rise","2015-10-23T04:45:00Z",345,"10"
"Set","2015-10-23T16:50:00Z",1070,"10"
"Rise","2015-10-24T04:40:00Z",340,"10"
"Set","2015-10-24T16:45:00Z",1065,"10"
"Rise","2015-10-25T04:45:00Z",345,"10"
"Set","2015-10-25T16:45:00Z",1065,"10"
"Rise","2015-10-26T04:45:00Z",345,"10"
"Set","2015-10-26T16:45:00Z",1065,"10"
"Rise","2015-10-27T04:40:00Z",340,"10"
"Set","2015-10-27T16:30:00Z",1050,"10"
"Rise","2015-10-28T04:50:00Z",350,"10"
"Set","2015-10-28T16:45:00Z",1065,"10"
"Rise","2015-10-29T04:45:00Z",345,"10"
"Set","2015-10-29T16:35:00Z",1055,"10"
