"series","timestamp","value","label"
"Rise","2015-07-15T02:35:00Z",95,"1"
"Set","2015-07-16T00:55:00Z",1435,"1"
"Rise","2015-07-16T01:00:00Z",0,"1"
"Set","2015-07-17T00:55:00Z",1435,"1"
"Rise","2015-07-17T01:00:00Z",0,"1"
"Set","2015-07-18T00:55:00Z",1435,"1"
"Rise","2015-07-18T01:00:00Z",0,"1"
"Set","2015-07-18T18:10:00Z",1030,"1"
"Rise","2015-07-19T02:25:00Z",85,"1"
"Set","2015-07-20T00:55:00Z",1435,"1"
"Rise","2015-07-20T01:00:00Z",0,"1"
"Set","2015-07-21T00:55:00Z",1435,"1"
"Rise","2015-07-21T01:00:00Z",0,"1"
"Set","2015-07-22T00:55:00Z",1435,"1"
"Rise","2015-07-22T01:00:00Z",0,"1"
"Set","2015-07-23T00:55:00Z",1435,"1"
"Rise","2015-07-23T01:00:00Z",0,"1"
"Set","2015-07-24T00:55:00Z",1435,"1"
"Rise","2015-07-24T01:00:00Z",0,"1"
"Set","2015-07-25T00:55:00Z",1435,"1"
"Rise","2015-07-25T01:00:00Z",0,"1"
"Set","2015-07-26T00:55:00Z",1435,"1-6"
"Rise","2015-07-26T01:00:00Z",0,"2-2"
"Set","2015-07-27T00:55:00Z",1435,"2-8"
"Rise","2015-07-27T01:00:00Z",0,"3-4"
"Set","2015-07-28T00:55:00Z",1435,"4"
"Rise","2015-07-28T01:00:00Z",0,"4"
"Set","2015-07-29T00:55:00Z",1435,"4"
"Rise","2015-07-29T01:00:00Z",0,"4"
"Set","2015-07-30T00:55:00Z",1435,"4"
"Rise","2015-07-30T01:00:00Z",0,"4"
"Set","2015-07-31T00:55:00Z",1435,"4"
"Rise","2015-07-31T01:00:00Z",0,"4"
"Set","2015-08-01T00:55:00Z",1435,"4"
"Rise","2015-08-01T01:00:00Z",0,"4"
"Set","2015-08-02T00:55:00Z",1435,"4"
"Rise","2015-08-02T01:00:00Z",0,"4"
"Set","2015-08-03T00:55:00Z",1435,"4"
"Rise","2015-08-03T01:00:00Z",0,"4"
"Set","2015-08-04T00:55:00Z",1435,"4"
"Rise","2015-08-04T01:00:00Z",0,"4"
"Set","2015-08-05T00:55:00Z",1435,"4"
"Rise","2015-08-05T01:00:00Z",0,"4"
"Set","2015-08-06T00:55:00Z",1435,"4"
"Rise","2015-08-06T01:00:00Z",0,"4"
"Set","2015-08-07T00:55:00Z",1435,"4"
"Rise","2015-08-07T01:00:00Z",0,"4"
"Set","2015-08-08T00:55:00Z",1435,"4"
"Rise","2015-08-08T01:00:00Z",0,"4"
"Set","2015-08-09T00:55:00Z",1435,"4"
"Rise","2015-08-09T01:00:00Z",0,"4"
"Set","2015-08-10T00:55:00Z",1435,"4"
"Rise","2015-08-10T01:00:00Z",0,"4"
"Set","2015-08-11T00:55:00Z",1435,"4"
"Rise","2015-08-11T01:00:00Z",0,"4"
"Set","2015-08-12T00:55:00Z",1435,"4"
"Rise","2015-08-12T01:00:00Z",0,"4"
"Set","2015-08-13T00:55:00Z",1435,"4"
"Rise","2015-08-13T01:00:00Z",0,"4"
"Set","2015-08-14T00:55:00Z",1435,"4"
"Rise","2015-08-14T01:00:00Z",0,"4"
"Set","2015-08-15T00:55:00Z",1435,"4"
"Rise","2015-08-15T01:00:00Z",0,"4"
"Set","2015-08-16T00:55:00Z",1435,"4"
"Rise","2015-08-16T01:00:00Z",0,"4"
"Set","2015-08-17T00:55:00Z",1435,"4"
"Rise","2015-08-17T01:00:00Z",0,"4"
"Set","2015-08-18T00:55:00Z",1435,"4"
"Rise","2015-08-18T01:00:00Z",0,"4"
"Set","2015-08-19T00:55:00Z",1435,"4"
"Rise","2015-08-19T01:00:00Z",0,"4"
"Set","2015-08-20T00:55:00Z",1435,"5"
"Rise","2015-08-20T01:00:00Z",0,"5"
"Set","2015-08-21T00:55:00Z",1435,"5"
"Rise","2015-08-21T01:00:00Z",0,"5"
"Set","2015-08-22T00:55:00Z",1435,"5"
"Rise","2015-08-22T01:00:00Z",0,"5"
"Set","2015-08-23T00:55:00Z",1435,"5"
"Rise","2015-08-23T01:00:00Z",0,"5"
"Set","2015-08-24T00:55:00Z",1435,"5"
"Rise","2015-08-24T01:00:00Z",0,"5"
"Set","2015-08-25T00:55:00Z",1435,"5-5"
"Rise","2015-08-25T01:00:00Z",0,"6"
"Set","2015-08-26T00:55:00Z",1435,"6-55555555555556"
"Rise","2015-08-26T01:00:00Z",0,"7-11111111111111"
"Set","2015-08-27T00:55:00Z",1435,"7-66666666666667"
"Rise","2015-08-27T01:00:00Z",0,"8-22222222222222"
"Set","2015-08-28T00:55:00Z",1435,"8-77777777777778"
"Rise","2015-08-28T01:00:00Z",0,"9-33333333333333"
"Set","2015-08-29T00:55:00Z",1435,"9-88888888888889"
"Rise","2015-08-29T01:00:00Z",0,"10-4444444444444"
"Set","2015-08-30T00:55:00Z",1435,"11"
"Rise","2015-08-30T01:00:00Z",0,"11"
"Set","2015-08-31T00:55:00Z",1435,"12"
"Rise","2015-08-31T01:00:00Z",0,"12"
"Set","2015-09-01T00:55:00Z",1435,"13"
"Rise","2015-09-01T01:00:00Z",0,"13"
"Set","2015-09-02T00:55:00Z",1435,"14"
"Rise","2015-09-02T01:00:00Z",0,"14"
"Set","2015-09-03T00:55:00Z",1435,"15"
"Rise","2015-09-03T01:00:00Z",0,"15"
