"series","timestamp","value","label"
"Rise","2015-07-01T02:45:00Z",225,"1"
"Set","2015-07-01T18:05:00Z",1145,"1"
"Rise","2015-07-02T02:30:00Z",210,"1"
"Set","2015-07-02T18:05:00Z",1145,"1"
"Rise","2015-07-03T02:35:00Z",215,"1"
"Set","2015-07-03T18:00:00Z",1140,"1"
"Rise","2015-07-04T02:50:00Z",230,"1"
"Set","2015-07-04T18:30:00Z",1170,"1"
"Rise","2015-07-05T02:35:00Z",215,"1"
"Set","2015-07-05T18:05:00Z",1145,"1"
"Rise","2015-07-06T02:40:00Z",220,"1"
"Set","2015-07-06T18:20:00Z",1160,"1"
"Rise","2015-07-07T02:45:00Z",225,"1"
"Set","2015-07-07T18:30:00Z",1170,"1"
"Rise","2015-07-08T02:20:00Z",200,"1"
"Set","2015-07-08T18:25:00Z",1165,"1"
"Rise","2015-07-09T02:25:00Z",205,"1"
"Set","2015-07-09T18:35:00Z",1175,"1"
"Rise","2015-07-10T02:30:00Z",210,"1"
"Set","2015-07-10T18:25:00Z",1165,"1"
"Rise","2015-07-11T02:30:00Z",210,"1"
"Set","2015-07-11T18:05:00Z",1145,"1"
"Rise","2015-07-12T02:30:00Z",210,"1"
"Set","2015-07-12T18:20:00Z",1160,"1"
"Rise","2015-07-13T02:30:00Z",210,"1"
"Set","2015-07-13T18:15:00Z",1155,"1"
"Rise","2015-07-14T02:45:00Z",225,"1"
"Set","2015-07-14T18:15:00Z",1155,"1"
"Rise","2015-07-15T02:20:00Z",200,"1"
"Set","2015-07-15T18:00:00Z",1140,"1"
"Rise","2015-07-16T02:50:00Z",230,"1"
"Set","2015-07-16T18:05:00Z",1145,"1"
"Rise","2015-07-17T02:35:00Z",215,"1"
"Set","2015-07-17T18:10:00Z",1150,"1"
"Rise","2015-07-18T02:40:00Z",220,"1"
"Set","2015-07-18T17:55:00Z",1135,"1"
"Rise","2015-07-19T02:25:00Z",205,"1"
"Set","2015-07-19T18:10:00Z",1150,"1"
"Rise","2015-07-20T02:40:00Z",220,"1"
"Set","2015-07-20T18:10:00Z",1150,"1"
"Rise","2015-07-21T02:30:00Z",210,"1"
"Set","2015-07-21T18:20:00Z",1160,"1"
"Rise","2015-07-22T02:35:00Z",215,"1"
"Set","2015-07-22T18:05:00Z",1145,"1"
"Rise","2015-07-23T02:35:00Z",215,"1"
"Set","2015-07-23T18:15:00Z",1155,"1"
"Rise","2015-07-24T02:30:00Z",210,"1"
"Set","2015-07-24T18:00:00Z",1140,"1"
"Rise","2015-07-25T02:30:00Z",210,"1"
"Set","2015-07-25T18:05:00Z",1145,"1"
"Rise","2015-07-26T02:35:00Z",215,"2"
"Set","2015-07-26T18:05:00Z",1145,"2"
"Rise","2015-07-27T02:35:00Z",215,"2"
"Set","2015-07-27T18:05:00Z",1145,"2"
"Rise","2015-07-28T02:50:00Z",230,"2"
"Set","2015-07-28T18:10:00Z",1150,"2"
"Rise","2015-07-29T02:50:00Z",230,"2"
"Set","2015-07-29T18:05:00Z",1145,"2"
"Rise","2015-07-30T02:55:00Z",235,"2"
"Set","2015-07-30T18:05:00Z",1145,"2"
"Rise","2015-07-31T02:50:00Z",230,"2"
"Set","2015-07-31T17:50:00Z",1130,"2"
"Rise","2015-08-01T02:55:00Z",235,"2"
"Set","2015-08-01T18:05:00Z",1145,"2"
"Rise","2015-08-02T02:40:00Z",220,"2"
"Set","2015-08-02T18:00:00Z",1140,"2"
"Rise","2015-08-03T02:30:00Z",210,"2"
"Set","2015-08-03T18:00:00Z",1140,"2"
"Rise","2015-08-04T02:45:00Z",225,"2"
"Set","2015-08-04T17:55:00Z",1135,"2"
"Rise","2015-08-05T02:55:00Z",235,"2"
"Set","2015-08-05T17:50:00Z",1130,"2"
"Rise","2015-08-06T02:45:00Z",225,"2"
"Set","2015-08-06T17:55:00Z",1135,"2"
"Rise","2015-08-07T02:50:00Z",230,"2"
"Set","2015-08-07T17:50:00Z",1130,"2"
"Rise","2015-08-08T02:50:00Z",230,"2"
"Set","2015-08-08T18:00:00Z",1140,"2"
"Rise","2015-08-09T02:50:00Z",230,"2"
"Set","2015-08-09T17:50:00Z",1130,"2"
"Rise","2015-08-10T02:50:00Z",230,"2"
"Set","2015-08-10T17:55:00Z",1135,"2"
"Rise","2015-08-11T03:00:00Z",240,"2"
"Set","2015-08-11T17:40:00Z",1120,"2"
"Rise","2015-08-12T02:50:00Z",230,"2"
"Set","2015-08-12T17:45:00Z",1125,"2"
"Rise","2015-08-13T03:00:00Z",240,"2"
"Set","2015-08-13T17:50:00Z",1130,"2"
"Rise","2015-08-14T03:05:00Z",245,"2"
"Set","2015-08-14T17:45:00Z",1125,"2"
"Rise","2015-08-15T03:10:00Z",250,"2"
"Set","2015-08-15T17:35:00Z",1115,"2"
"Rise","2015-08-16T03:05:00Z",245,"2"
"Set","2015-08-16T17:40:00Z",1120,"2"
"Rise","2015-08-17T03:05:00Z",245,"2"
"Set","2015-08-17T17:25:00Z",1105,"2"
"Rise","2015-08-18T03:05:00Z",245,"2"
"Set","2015-08-18T17:25:00Z",1105,"2"
"Rise","2015-08-19T03:10:00Z",250,"2"
"Set","2015-08-19T17:25:00Z",1105,"2"
"Rise","2015-08-20T03:25:00Z",265,"2"
"Set","2015-08-20T17:30:00Z",1110,"2"
"Rise","2015-08-21T03:25:00Z",265,"2"
"Set","2015-08-21T17:20:00Z",1100,"2"
"Rise","2015-08-22T03:20:00Z",260,"2"
"Set","2015-08-22T17:15:00Z",1095,"2"
"Rise","2015-08-23T03:10:00Z",250,"2"
"Set","2015-08-23T17:30:00Z",1110,"2"
"Rise","2015-08-24T03:10:00Z",250,"2"
"Set","2015-08-24T17:25:00Z",1105,"2"
"Rise","2015-08-25T03:20:00Z",260,"3"
"Set","2015-08-25T16:50:00Z",1070,"3"
"Rise","2015-08-26T03:30:00Z",270,"4"
"Set","2015-08-26T17:00:00Z",1080,"4"
"Rise","2015-08-27T03:40:00Z",280,"5"
"Set","2015-08-27T17:00:00Z",1080,"5"
"Rise","2015-08-28T03:45:00Z",285,"5-5"
"Set","2015-08-28T17:10:00Z",1090,"6"
"Rise","2015-08-29T04:00:00Z",300,"7"
"Set","2015-08-29T17:00:00Z",1080,"7"
"Rise","2015-08-30T04:40:00Z",340,"8"
"Set","2015-08-30T17:00:00Z",1080,"8"
"Rise","2015-08-31T04:20:00Z",320,"9"
"Set","2015-08-31T16:50:00Z",1070,"9"
"Rise","2015-09-01T04:30:00Z",330,"9"
"Set","2015-09-01T17:00:00Z",1080,"9"
"Rise","2015-09-02T04:45:00Z",345,"9"
"Set","2015-09-02T17:00:00Z",1080,"9"
"Rise","2015-09-03T04:50:00Z",350,"10"
"Set","2015-09-03T16:55:00Z",1075,"10"
"Rise","2015-09-04T04:50:00Z",350,"11"
"Set","2015-09-04T16:45:00Z",1065,"11"
"Rise","2015-09-05T04:25:00Z",325,"11"
"Set","2015-09-05T16:55:00Z",1075,"11"
"Rise","2015-09-06T04:20:00Z",320,"11"
"Set","2015-09-06T16:55:00Z",1075,"11"
"Rise","2015-09-07T04:25:00Z",325,"11"
"Set","2015-09-07T17:05:00Z",1085,"11"
"Rise","2015-09-08T04:40:00Z",340,"11"
"Set","2015-09-08T17:05:00Z",1085,"11"
"Rise","2015-09-09T04:30:00Z",330,"12"
"Set","2015-09-09T17:00:00Z",1080,"12"
"Rise","2015-09-10T04:30:00Z",330,"12"
"Set","2015-09-10T16:55:00Z",1075,"12"
"Rise","2015-09-11T04:35:00Z",335,"12"
"Set","2015-09-11T17:10:00Z",1090,"12"
"Rise","2015-09-12T04:35:00Z",335,"12"
"Set","2015-09-12T17:05:00Z",1085,"12"
"Rise","2015-09-13T04:35:00Z",335,"12"
"Set","2015-09-13T17:10:00Z",1090,"12"
"Rise","2015-09-14T04:30:00Z",330,"12"
"Set","2015-09-14T16:50:00Z",1070,"12"
"Rise","2015-09-15T04:35:00Z",335,"12"
"Set","2015-09-15T17:05:00Z",1085,"12"
"Rise","2015-09-16T04:35:00Z",335,"13"
"Set","2015-09-16T17:00:00Z",1080,"13"
"Rise","2015-09-17T04:20:00Z",320,"14"
"Set","2015-09-17T16:45:00Z",1065,"14"
"Rise","2015-09-18T04:20:00Z",320,"14"
"Set","2015-09-18T16:50:00Z",1070,"14"
"Rise","2015-09-19T04:20:00Z",320,"14"
"Set","2015-09-19T16:45:00Z",1065,"14"
"Rise","2015-09-20T04:35:00Z",335,"14"
"Set","2015-09-20T16:50:00Z",1070,"14"
"Rise","2015-09-21T04:25:00Z",325,"14"
"Set","2015-09-21T16:50:00Z",1070,"14"
"Rise","2015-09-22T04:20:00Z",320,"14"
"Set","2015-09-22T16:45:00Z",1065,"14"
"Rise","2015-09-23T04:20:00Z",320,"14"
"Set","2015-09-23T16:50:00Z",1070,"14"
"Rise","2015-09-24T04:15:00Z",315,"14"
"Set","2015-09-24T16:40:00Z",1060,"14"
"Rise","2015-09-25T04:20:00Z",320,"14"
"Set","2015-09-25T16:50:00Z",1070,"14"
"Rise","2015-09-26T04:25:00Z",325,"14"
"Set","2015-09-26T16:45:00Z",1065,"14"
"Rise","2015-09-27T04:25:00Z",325,"14"
"Set","2015-09-27T16:45:00Z",1065,"14"
"Rise","2015-09-28T04:20:00Z",320,"14"
"Set","2015-09-28T16:40:00Z",1060,"14"
"Rise","2015-09-29T04:15:00Z",315,"14"
"Set","2015-09-29T16:35:00Z",1055,"14"
"Rise","2015-09-30T04:25:00Z",325,"14"
"Set","2015-09-30T16:45:00Z",1065,"14"
"Rise","2015-10-01T04:20:00Z",320,"14"
"Set","2015-10-01T16:40:00Z",1060,"14"
"Rise","2015-10-02T04:20:00Z",320,"14"
"Set","2015-10-02T16:45:00Z",1065,"14"
"Rise","2015-10-03T04:20:00Z",320,"14"
"Set","2015-10-03T16:35:00Z",1055,"14"
"Rise","2015-10-04T04:15:00Z",315,"14"
"Set","2015-10-04T16:40:00Z",1060,"14"
"Rise","2015-10-05T04:35:00Z",335,"14"
"Set","2015-10-05T16:40:00Z",1060,"14"
"Rise","2015-10-06T04:20:00Z",320,"14"
"Set","2015-10-06T16:35:00Z",1055,"14"
"Rise","2015-10-07T04:20:00Z",320,"14"
"Set","2015-10-07T16:40:00Z",1060,"14"
"Rise","2015-10-08T04:25:00Z",325,"14"
"Set","2015-10-08T16:35:00Z",1055,"14"
"Rise","2015-10-09T04:20:00Z",320,"14"
"Set","2015-10-09T16:40:00Z",1060,"14"
"Rise","2015-10-10T04:20:00Z",320,"14"
"Set","2015-10-10T16:40:00Z",1060,"14"
"Rise","2015-10-11T04:20:00Z",320,"14"
"Set","2015-10-11T16:40:00Z",1060,"14"
"Rise","2015-10-12T04:45:00Z",345,"14"
"Set","2015-10-12T16:40:00Z",1060,"14"
"Rise","2015-10-13T04:35:00Z",335,"14"
"Set","2015-10-13T16:35:00Z",1055,"14"
"Rise","2015-10-14T04:20:00Z",320,"14"
"Set","2015-10-14T16:45:00Z",1065,"14"
"Rise","2015-10-15T04:20:00Z",320,"14"
"Set","2015-10-15T16:35:00Z",1055,"14"
"Rise","2015-10-16T04:20:00Z",320,"14"
"Set","2015-10-16T16:35:00Z",1055,"14"
"Rise","2015-10-17T04:20:00Z",320,"14"
"Set","2015-10-17T16:35:00Z",1055,"14"
"Rise","2015-10-18T04:15:00Z",315,"14"
"Set","2015-10-18T16:35:00Z",1055,"14"
"Rise","2015-10-19T04:20:00Z",320,"14"
"Set","2015-10-19T16:30:00Z",1050,"14"
"Rise","2015-10-20T04:15:00Z",315,"14"
"Set","2015-10-20T16:40:00Z",1060,"14"
"Rise","2015-10-21T04:15:00Z",315,"14"
"Set","2015-10-21T16:30:00Z",1050,"14"
"Rise","2015-10-22T04:20:00Z",320,"14"
"Set","2015-10-22T16:30:00Z",1050,"14"
"Rise","2015-10-23T04:15:00Z",315,"14"
