"series","timestamp","value","label"
"Rise","2015-07-15T02:30:00Z",210,"1"
"Set","2015-07-15T17:50:00Z",1130,"1"
"Rise","2015-07-16T02:50:00Z",230,"1"
"Set","2015-07-16T18:00:00Z",1140,"1"
"Rise","2015-07-17T02:40:00Z",220,"1"
"Set","2015-07-17T18:10:00Z",1150,"1"
"Rise","2015-07-18T02:40:00Z",220,"2"
"Set","2015-07-18T18:20:00Z",1160,"2"
"Rise","2015-07-19T02:25:00Z",205,"2"
"Set","2015-07-19T18:05:00Z",1145,"2"
"Rise","2015-07-20T02:25:00Z",205,"2"
"Set","2015-07-20T18:15:00Z",1155,"2"
"Rise","2015-07-21T02:30:00Z",210,"2"
"Set","2015-07-21T18:15:00Z",1155,"2"
"Rise","2015-07-22T02:35:00Z",215,"2"
"Set","2015-07-22T18:10:00Z",1150,"2"
"Rise","2015-07-23T02:20:00Z",200,"2"
"Set","2015-07-23T18:10:00Z",1150,"2"
"Rise","2015-07-24T02:25:00Z",205,"2"
"Set","2015-07-24T18:10:00Z",1150,"2"
"Rise","2015-07-25T02:45:00Z",225,"3"
"Set","2015-07-25T17:50:00Z",1130,"3"
"Rise","2015-07-26T02:50:00Z",230,"4"
"Set","2015-07-26T17:45:00Z",1125,"4"
"Rise","2015-07-27T02:50:00Z",230,"5"
"Set","2015-07-27T17:40:00Z",1120,"5"
"Rise","2015-07-28T02:50:00Z",230,"5"
"Set","2015-07-28T17:45:00Z",1125,"5"
"Rise","2015-07-29T02:45:00Z",225,"5"
"Set","2015-07-29T17:45:00Z",1125,"5"
"Rise","2015-07-30T02:50:00Z",230,"5"
"Set","2015-07-30T17:45:00Z",1125,"5"
"Rise","2015-07-31T02:45:00Z",225,"5"
"Set","2015-07-31T17:45:00Z",1125,"5"
"Rise","2015-08-01T02:45:00Z",225,"5"
"Set","2015-08-01T17:40:00Z",1120,"5"
"Rise","2015-08-02T02:55:00Z",235,"5"
"Set","2015-08-02T17:35:00Z",1115,"5"
