"series","timestamp","value","label"
"Set","2016-06-22T16:35:00Z",1055,"1"
"Rise","2016-06-22T16:35:00Z",1055,"1"
"Rise","2016-06-27T06:55:00Z",475,"1"
"Set","2016-06-27T07:50:00Z",530,"1"
"Rise","2016-06-28T07:05:00Z",485,"1"
"Set","2016-06-28T19:25:00Z",1225,"1"
"Rise","2016-06-29T02:25:00Z",205,"1"
"Set","2016-06-29T19:20:00Z",1220,"1"
"Rise","2016-06-30T02:45:00Z",225,"1"
"Set","2016-06-30T19:00:00Z",1200,"1"
"Rise","2016-07-01T02:25:00Z",205,"1"
"Set","2016-07-01T19:25:00Z",1225,"1"
"Rise","2016-07-02T02:15:00Z",195,"1"
"Set","2016-07-02T18:45:00Z",1185,"1"
"Rise","2016-07-03T02:35:00Z",215,"1"
"Set","2016-07-03T19:15:00Z",1215,"1"
"Rise","2016-07-04T02:25:00Z",205,"1"
"Set","2016-07-04T19:15:00Z",1215,"1"
"Rise","2016-07-05T02:25:00Z",205,"1"
"Set","2016-07-05T19:25:00Z",1225,"1"
"Rise","2016-07-06T02:25:00Z",205,"1"
"Set","2016-07-06T19:15:00Z",1215,"1"
"Rise","2016-07-07T02:25:00Z",205,"1"
"Set","2016-07-07T19:20:00Z",1220,"1"
"Rise","2016-07-08T02:45:00Z",225,"1"
"Set","2016-07-08T19:05:00Z",1205,"1"
"Rise","2016-07-09T02:40:00Z",220,"1"
"Set","2016-07-09T19:10:00Z",1210,"1"
"Rise","2016-07-10T02:50:00Z",230,"1"
"Set","2016-07-10T19:25:00Z",1225,"1"
"Rise","2016-07-11T02:40:00Z",220,"1"
"Set","2016-07-11T19:10:00Z",1210,"1"
"Rise","2016-07-12T03:10:00Z",250,"1"
"Set","2016-07-12T19:05:00Z",1205,"1"
"Rise","2016-07-13T02:55:00Z",235,"1"
"Set","2016-07-13T19:00:00Z",1200,"1"
"Rise","2016-07-14T03:20:00Z",260,"1"
"Set","2016-07-14T19:05:00Z",1205,"1"
"Rise","2016-07-15T02:45:00Z",225,"1"
"Set","2016-07-15T19:10:00Z",1210,"1"
"Rise","2016-07-16T02:55:00Z",235,"1"
"Set","2016-07-16T19:00:00Z",1200,"1"
"Rise","2016-07-17T03:00:00Z",240,"1"
"Set","2016-07-17T18:55:00Z",1195,"1"
"Rise","2016-07-18T02:45:00Z",225,"1"
"Set","2016-07-18T19:10:00Z",1210,"1"
