"series","timestamp","value","label"
"Rise","2016-06-20T02:00:00Z",180,"1"
"Set","2016-06-20T18:30:00Z",1170,"1"
"Rise","2016-06-21T02:05:00Z",185,"1"
"Set","2016-06-21T18:25:00Z",1165,"1"
"Rise","2016-06-22T02:00:00Z",180,"1"
"Set","2016-06-22T18:30:00Z",1170,"1"
"Rise","2016-06-23T02:00:00Z",180,"1"
"Set","2016-06-23T18:25:00Z",1165,"1"
"Rise","2016-06-24T02:10:00Z",190,"1"
"Set","2016-06-24T18:25:00Z",1165,"1"
"Rise","2016-06-25T02:15:00Z",195,"1"
"Set","2016-06-25T18:35:00Z",1175,"1"
"Rise","2016-06-26T02:10:00Z",190,"1"
"Set","2016-06-26T18:10:00Z",1150,"1"
"Rise","2016-06-27T02:05:00Z",185,"1"
"Set","2016-06-27T18:30:00Z",1170,"1"
"Rise","2016-06-28T02:10:00Z",190,"1"
"Set","2016-06-28T18:25:00Z",1165,"1"
"Rise","2016-06-29T02:20:00Z",200,"1"
"Set","2016-06-29T18:15:00Z",1155,"1"
"Rise","2016-06-30T02:20:00Z",200,"1"
"Set","2016-06-30T18:25:00Z",1165,"1"
"Rise","2016-07-01T02:10:00Z",190,"1"
"Set","2016-07-01T18:20:00Z",1160,"1"
"Rise","2016-07-02T02:15:00Z",195,"1"
"Set","2016-07-02T18:20:00Z",1160,"1"
"Rise","2016-07-03T02:20:00Z",200,"1"
"Set","2016-07-03T18:15:00Z",1155,"1"
"Rise","2016-07-04T02:20:00Z",200,"1"
"Set","2016-07-04T18:05:00Z",1145,"1"
"Rise","2016-07-05T02:20:00Z",200,"1"
"Set","2016-07-05T18:05:00Z",1145,"1"
"Rise","2016-07-06T02:40:00Z",220,"1"
"Set","2016-07-06T18:05:00Z",1145,"1"
"Rise","2016-07-07T02:20:00Z",200,"1"
"Set","2016-07-07T18:20:00Z",1160,"1"
"Rise","2016-07-08T02:20:00Z",200,"1"
"Set","2016-07-08T18:05:00Z",1145,"1"
"Rise","2016-07-09T02:15:00Z",195,"1"
"Set","2016-07-09T18:05:00Z",1145,"1"
"Rise","2016-07-10T02:25:00Z",205,"1"
"Set","2016-07-10T18:15:00Z",1155,"1"
"Rise","2016-07-11T02:20:00Z",200,"1"
"Set","2016-07-11T18:10:00Z",1150,"1"
"Rise","2016-07-12T02:30:00Z",210,"1"
"Set","2016-07-12T18:15:00Z",1155,"1"
"Rise","2016-07-13T02:15:00Z",195,"1"
"Set","2016-07-13T18:10:00Z",1150,"1"
"Rise","2016-07-14T02:40:00Z",220,"1"
"Set","2016-07-14T18:05:00Z",1145,"1"
"Rise","2016-07-15T02:20:00Z",200,"1"
"Set","2016-07-15T18:05:00Z",1145,"1"
"Rise","2016-07-16T02:25:00Z",205,"1"
"Set","2016-07-16T18:05:00Z",1145,"1"
"Rise","2016-07-17T02:25:00Z",205,"1"
"Set","2016-07-17T18:00:00Z",1140,"1"
"Rise","2016-07-18T02:40:00Z",220,"1"
"Set","2016-07-18T18:10:00Z",1150,"1"
"Rise","2016-07-19T02:20:00Z",200,"1"
"Set","2016-07-19T18:10:00Z",1150,"1"
"Rise","2016-07-20T02:35:00Z",215,"1"
"Set","2016-07-20T17:55:00Z",1135,"1"
"Rise","2016-07-21T02:35:00Z",215,"1"
"Set","2016-07-21T18:00:00Z",1140,"1"
"Rise","2016-07-22T02:35:00Z",215,"1"
"Set","2016-07-22T18:10:00Z",1150,"1"
"Rise","2016-07-23T02:35:00Z",215,"1"
"Set","2016-07-23T18:10:00Z",1150,"1"
"Rise","2016-07-24T02:30:00Z",210,"1"
"Set","2016-07-24T18:05:00Z",1145,"1"
"Rise","2016-07-25T02:35:00Z",215,"1"
"Set","2016-07-25T18:05:00Z",1145,"1"
"Rise","2016-07-26T02:40:00Z",220,"1"
"Set","2016-07-26T18:10:00Z",1150,"1"
"Rise","2016-07-27T02:40:00Z",220,"1"
"Set","2016-07-27T18:05:00Z",1145,"1"
"Rise","2016-07-28T02:35:00Z",215,"1"
"Set","2016-07-28T18:05:00Z",1145,"1"
"Rise","2016-07-29T02:25:00Z",205,"1"
"Set","2016-07-29T18:10:00Z",1150,"1"
"Rise","2016-07-30T02:30:00Z",210,"1"
"Set","2016-07-30T18:10:00Z",1150,"1"
"Rise","2016-07-31T02:30:00Z",210,"1"
"Set","2016-07-31T18:00:00Z",1140,"1"
"Rise","2016-08-01T02:40:00Z",220,"1"
"Set","2016-08-01T18:05:00Z",1145,"1"
"Rise","2016-08-02T02:35:00Z",215,"1"
"Set","2016-08-02T17:45:00Z",1125,"1"
"Rise","2016-08-03T02:40:00Z",220,"1"
"Set","2016-08-03T18:05:00Z",1145,"1"
"Rise","2016-08-04T02:40:00Z",220,"2"
"Set","2016-08-04T18:05:00Z",1145,"2"
"Rise","2016-08-05T02:35:00Z",215,"3"
"Set","2016-08-05T17:55:00Z",1135,"3"
"Rise","2016-08-06T02:35:00Z",215,"3"
"Set","2016-08-06T17:55:00Z",1135,"3"
"Rise","2016-08-07T02:45:00Z",225,"4"
"Set","2016-08-07T17:50:00Z",1130,"4"
"Rise","2016-08-08T02:40:00Z",220,"4"
"Set","2016-08-08T17:45:00Z",1125,"4"
"Rise","2016-08-09T02:40:00Z",220,"4"
"Set","2016-08-09T17:55:00Z",1135,"4"
"Rise","2016-08-10T02:35:00Z",215,"4"
"Set","2016-08-10T17:40:00Z",1120,"4"
"Rise","2016-08-11T02:45:00Z",225,"4"
"Set","2016-08-11T17:35:00Z",1115,"4"
"Rise","2016-08-12T02:55:00Z",235,"4"
"Set","2016-08-12T17:40:00Z",1120,"4"
"Rise","2016-08-13T02:50:00Z",230,"4"
"Set","2016-08-13T17:50:00Z",1130,"4"
"Rise","2016-08-14T02:50:00Z",230,"4"
"Set","2016-08-14T17:45:00Z",1125,"4"
"Rise","2016-08-15T02:40:00Z",220,"4"
"Set","2016-08-15T17:40:00Z",1120,"4"
"Rise","2016-08-16T02:45:00Z",225,"4"
"Set","2016-08-16T17:30:00Z",1110,"4"
"Rise","2016-08-17T02:50:00Z",230,"4"
"Set","2016-08-17T17:40:00Z",1120,"4"
"Rise","2016-08-18T02:55:00Z",235,"4"
"Set","2016-08-18T17:30:00Z",1110,"4"
"Rise","2016-08-19T03:00:00Z",240,"4"
"Set","2016-08-19T17:15:00Z",1095,"4"
"Rise","2016-08-20T02:55:00Z",235,"4"
"Set","2016-08-20T17:30:00Z",1110,"4"
"Rise","2016-08-21T02:55:00Z",235,"4"
"Set","2016-08-21T17:20:00Z",1100,"4"
"Rise","2016-08-22T02:55:00Z",235,"4"
"Set","2016-08-22T17:00:00Z",1080,"4"
"Rise","2016-08-23T03:15:00Z",255,"4"
"Set","2016-08-23T17:25:00Z",1105,"4"
"Rise","2016-08-24T03:00:00Z",240,"4"
"Set","2016-08-24T17:20:00Z",1100,"4"
"Rise","2016-08-25T03:00:00Z",240,"4"
"Set","2016-08-25T17:30:00Z",1110,"4"
"Rise","2016-08-26T03:00:00Z",240,"4"
"Set","2016-08-26T17:25:00Z",1105,"4"
"Rise","2016-08-27T03:05:00Z",245,"4"
"Set","2016-08-27T17:25:00Z",1105,"4"
