"series","timestamp","value","label"
"Rise","2016-07-07T01:35:00Z",155,"1"
"Set","2016-07-07T19:50:00Z",1250,"1"
"Rise","2016-07-08T01:35:00Z",155,"1"
"Set","2016-07-08T19:35:00Z",1235,"1"
"Rise","2016-07-09T01:35:00Z",155,"1"
"Set","2016-07-09T19:45:00Z",1245,"1"
"Rise","2016-07-10T01:40:00Z",160,"1"
"Set","2016-07-10T19:35:00Z",1235,"1"
"Rise","2016-07-11T01:45:00Z",165,"1"
"Set","2016-07-11T19:40:00Z",1240,"1"
"Rise","2016-07-12T01:45:00Z",165,"1"
"Set","2016-07-12T19:35:00Z",1235,"1"
"Rise","2016-07-13T01:55:00Z",175,"1"
"Set","2016-07-13T19:40:00Z",1240,"1"
"Rise","2016-07-14T01:55:00Z",175,"1"
"Set","2016-07-14T19:25:00Z",1225,"1"
"Rise","2016-07-15T01:45:00Z",165,"1"
"Set","2016-07-15T19:40:00Z",1240,"1"
"Rise","2016-07-16T02:00:00Z",180,"1"
"Set","2016-07-16T19:40:00Z",1240,"1"
"Rise","2016-07-17T01:50:00Z",170,"1"
"Set","2016-07-17T19:35:00Z",1235,"1"
"Rise","2016-07-18T01:50:00Z",170,"1"
"Set","2016-07-18T19:35:00Z",1235,"1"
"Rise","2016-07-19T01:40:00Z",160,"1"
"Set","2016-07-19T19:40:00Z",1240,"1"
"Rise","2016-07-20T02:05:00Z",185,"1"
"Set","2016-07-20T19:35:00Z",1235,"1"
"Rise","2016-07-21T01:45:00Z",165,"1"
"Set","2016-07-21T19:20:00Z",1220,"1"
"Rise","2016-07-22T02:20:00Z",200,"1"
"Set","2016-07-22T19:25:00Z",1225,"1"
"Rise","2016-07-23T01:55:00Z",175,"1"
"Set","2016-07-23T19:25:00Z",1225,"1"
"Rise","2016-07-24T02:05:00Z",185,"1"
"Set","2016-07-24T19:35:00Z",1235,"1"
"Rise","2016-07-25T01:50:00Z",170,"1"
"Set","2016-07-25T19:30:00Z",1230,"1"
"Rise","2016-07-26T01:55:00Z",175,"1"
"Set","2016-07-26T19:20:00Z",1220,"1"
"Rise","2016-07-27T02:00:00Z",180,"1"
"Set","2016-07-27T19:10:00Z",1210,"1"
"Rise","2016-07-28T02:25:00Z",205,"1"
"Set","2016-07-28T19:20:00Z",1220,"1"
"Rise","2016-07-29T02:10:00Z",190,"1"
"Set","2016-07-29T18:50:00Z",1190,"1"
"Rise","2016-07-30T02:25:00Z",205,"1"
"Set","2016-07-30T19:00:00Z",1200,"1"
"Rise","2016-07-31T02:35:00Z",215,"1"
"Set","2016-07-31T19:05:00Z",1205,"1"
"Rise","2016-08-01T02:45:00Z",225,"1"
"Set","2016-08-01T19:05:00Z",1205,"1"
"Rise","2016-08-02T02:20:00Z",200,"1"
"Set","2016-08-02T18:25:00Z",1165,"1"
"Rise","2016-08-03T02:15:00Z",195,"1"
"Set","2016-08-03T18:55:00Z",1195,"1"
"Rise","2016-08-04T02:50:00Z",230,"1"
"Set","2016-08-04T19:00:00Z",1200,"1"
"Rise","2016-08-05T02:20:00Z",200,"1"
"Set","2016-08-05T18:10:00Z",1150,"1"
"Rise","2016-08-06T02:40:00Z",220,"1"
"Set","2016-08-06T18:40:00Z",1180,"1"
"Rise","2016-08-07T03:00:00Z",240,"1"
"Set","2016-08-07T18:50:00Z",1190,"1"
"Rise","2016-08-08T02:30:00Z",210,"2"
"Set","2016-08-08T18:40:00Z",1180,"2"
"Rise","2016-08-09T02:25:00Z",205,"3"
"Set","2016-08-09T18:45:00Z",1185,"3"
"Rise","2016-08-10T02:30:00Z",210,"3"
"Set","2016-08-10T18:25:00Z",1165,"3"
"Rise","2016-08-11T02:35:00Z",215,"3"
"Set","2016-08-11T18:35:00Z",1175,"3"
"Rise","2016-08-12T02:40:00Z",220,"3"
"Set","2016-08-12T18:35:00Z",1175,"3"
"Rise","2016-08-13T02:45:00Z",225,"4"
"Set","2016-08-13T17:50:00Z",1130,"4"
"Rise","2016-08-14T03:05:00Z",245,"5"
"Set","2016-08-14T18:05:00Z",1145,"5"
"Rise","2016-08-15T03:00:00Z",240,"6"
"Set","2016-08-15T18:15:00Z",1155,"6"
"Rise","2016-08-16T03:10:00Z",250,"6"
"Set","2016-08-16T18:20:00Z",1160,"6"
"Rise","2016-08-17T03:05:00Z",245,"6"
"Set","2016-08-17T18:15:00Z",1155,"6"
"Rise","2016-08-18T03:10:00Z",250,"6"
"Set","2016-08-18T18:10:00Z",1150,"6"
"Rise","2016-08-19T03:20:00Z",260,"7"
"Set","2016-08-19T18:05:00Z",1145,"7"
"Rise","2016-08-20T03:25:00Z",265,"8"
"Set","2016-08-20T17:55:00Z",1135,"8"
"Rise","2016-08-21T03:30:00Z",270,"9"
"Set","2016-08-21T18:00:00Z",1140,"9"
"Rise","2016-08-22T03:25:00Z",265,"9"
"Set","2016-08-22T17:50:00Z",1130,"9"
"Rise","2016-08-23T03:35:00Z",275,"9"
"Set","2016-08-23T17:45:00Z",1125,"9"
"Rise","2016-08-24T03:35:00Z",275,"9"
"Set","2016-08-24T17:45:00Z",1125,"9"
"Rise","2016-08-25T03:35:00Z",275,"9"
"Set","2016-08-25T17:50:00Z",1130,"9"
"Rise","2016-08-26T03:35:00Z",275,"9"
"Set","2016-08-26T17:50:00Z",1130,"9"
"Rise","2016-08-27T03:30:00Z",270,"9"
"Set","2016-08-27T17:55:00Z",1135,"9"
"Rise","2016-08-28T03:30:00Z",270,"9"
"Set","2016-08-28T17:45:00Z",1125,"9"
"Rise","2016-08-29T03:30:00Z",270,"9"
"Set","2016-08-29T17:45:00Z",1125,"9"
"Rise","2016-08-30T03:35:00Z",275,"9"
"Set","2016-08-30T17:40:00Z",1120,"9"
"Rise","2016-08-31T03:45:00Z",285,"9"
"Set","2016-08-31T17:35:00Z",1115,"9"
"Rise","2016-09-01T03:45:00Z",285,"9"
"Set","2016-09-01T17:35:00Z",1115,"9"
"Rise","2016-09-02T03:50:00Z",290,"9"
"Set","2016-09-02T17:25:00Z",1105,"9"
"Rise","2016-09-03T03:45:00Z",285,"9"
"Set","2016-09-03T17:25:00Z",1105,"9"
"Rise","2016-09-04T03:45:00Z",285,"9"
"Set","2016-09-04T17:30:00Z",1110,"9"
"Rise","2016-09-05T03:55:00Z",295,"9"
"Set","2016-09-05T17:20:00Z",1100,"9"
"Rise","2016-09-06T04:00:00Z",300,"9"
"Set","2016-09-06T17:10:00Z",1090,"9"
"Rise","2016-09-07T04:10:00Z",310,"9"
"Set","2016-09-07T17:30:00Z",1110,"9"
"Rise","2016-09-08T03:50:00Z",290,"9"
"Set","2016-09-08T17:10:00Z",1090,"9"
"Rise","2016-09-09T04:00:00Z",300,"9"
"Set","2016-09-09T17:15:00Z",1095,"9"
"Rise","2016-09-10T04:00:00Z",300,"9"
"Set","2016-09-10T17:05:00Z",1085,"9"
"Rise","2016-09-11T04:00:00Z",300,"9"
"Set","2016-09-11T17:15:00Z",1095,"9"
"Rise","2016-09-12T03:55:00Z",295,"9"
"Set","2016-09-12T17:15:00Z",1095,"9"
"Rise","2016-09-13T03:50:00Z",290,"9"
"Set","2016-09-13T17:05:00Z",1085,"9"
"Rise","2016-09-14T04:00:00Z",300,"10"
"Set","2016-09-14T17:10:00Z",1090,"10"
"Rise","2016-09-15T03:55:00Z",295,"10"
"Set","2016-09-15T17:10:00Z",1090,"10"
"Rise","2016-09-16T04:00:00Z",300,"10"
"Set","2016-09-16T17:10:00Z",1090,"10"
"Rise","2016-09-17T04:10:00Z",310,"11"
"Set","2016-09-17T17:00:00Z",1080,"11"
"Rise","2016-09-18T04:05:00Z",305,"11"
"Set","2016-09-18T16:40:00Z",1060,"11"
"Rise","2016-09-19T04:10:00Z",310,"11"
"Set","2016-09-19T17:00:00Z",1080,"11"
"Rise","2016-09-20T04:00:00Z",300,"11"
"Set","2016-09-20T17:00:00Z",1080,"11"
"Rise","2016-09-21T03:50:00Z",290,"11-25"
"Set","2016-09-21T16:30:00Z",1050,"11-5"
"Rise","2016-09-22T03:35:00Z",275,"11-75"
"Set","2016-09-22T16:20:00Z",1040,"12"
"Rise","2016-09-23T04:00:00Z",300,"13"
"Set","2016-09-23T16:35:00Z",1055,"13"
"Rise","2016-09-24T04:00:00Z",300,"14"
"Set","2016-09-24T16:25:00Z",1045,"14"
"Rise","2016-09-25T04:05:00Z",305,"15"
"Set","2016-09-25T16:35:00Z",1055,"15"
"Rise","2016-09-26T04:05:00Z",305,"15"
"Set","2016-09-26T16:35:00Z",1055,"15"
"Rise","2016-09-27T04:15:00Z",315,"15"
"Set","2016-09-27T16:35:00Z",1055,"15"
"Rise","2016-09-28T04:05:00Z",305,"15"
"Set","2016-09-28T16:35:00Z",1055,"15"
"Rise","2016-09-29T04:05:00Z",305,"15"
"Set","2016-09-29T16:35:00Z",1055,"15"
"Rise","2016-09-30T04:00:00Z",300,"15"
"Set","2016-09-30T16:40:00Z",1060,"15"
"Rise","2016-10-01T04:00:00Z",300,"15"
"Set","2016-10-01T16:35:00Z",1055,"15"
"Rise","2016-10-02T04:05:00Z",305,"15"
"Set","2016-10-02T16:35:00Z",1055,"15"
"Rise","2016-10-03T04:10:00Z",310,"15"
"Set","2016-10-03T16:35:00Z",1055,"15"
"Rise","2016-10-04T04:05:00Z",305,"15"
"Set","2016-10-04T16:25:00Z",1045,"15"
"Rise","2016-10-05T04:15:00Z",315,"16"
"Set","2016-10-05T16:25:00Z",1045,"16"
"Rise","2016-10-06T04:10:00Z",310,"16"
"Set","2016-10-06T16:25:00Z",1045,"16"
"Rise","2016-10-07T04:10:00Z",310,"16"
"Set","2016-10-07T16:25:00Z",1045,"16"
"Rise","2016-10-08T04:10:00Z",310,"16"
"Set","2016-10-08T16:30:00Z",1050,"16"
"Rise","2016-10-09T04:00:00Z",300,"16"
"Set","2016-10-09T16:25:00Z",1045,"16"
"Rise","2016-10-10T04:10:00Z",310,"16"
"Set","2016-10-10T16:25:00Z",1045,"16"
"Rise","2016-10-11T04:05:00Z",305,"16"
"Set","2016-10-11T16:20:00Z",1040,"16"
"Rise","2016-10-12T04:05:00Z",305,"16"
"Set","2016-10-12T16:25:00Z",1045,"16"
"Rise","2016-10-13T04:05:00Z",305,"16"
"Set","2016-10-13T16:20:00Z",1040,"16"
"Rise","2016-10-14T04:10:00Z",310,"16"
"Set","2016-10-14T16:20:00Z",1040,"16"
"Rise","2016-10-15T04:05:00Z",305,"16"
"Set","2016-10-15T16:20:00Z",1040,"16"
"Rise","2016-10-16T04:05:00Z",305,"16"
"Set","2016-10-16T16:25:00Z",1045,"16"
"Rise","2016-10-17T04:10:00Z",310,"16"
"Set","2016-10-17T16:25:00Z",1045,"16"
"Rise","2016-10-18T04:05:00Z",305,"16"
"Set","2016-10-18T16:20:00Z",1040,"16"
"Rise","2016-10-19T04:05:00Z",305,"16"
"Set","2016-10-19T16:20:00Z",1040,"16"
"Rise","2016-10-20T04:05:00Z",305,"16"
"Set","2016-10-20T16:25:00Z",1045,"16"
"Rise","2016-10-21T04:05:00Z",305,"16"
