"series","timestamp","value","label"
"Rise","2016-06-27T01:05:00Z",125,"1"
"Set","2016-06-27T19:55:00Z",1255,"1"
"Rise","2016-06-28T01:30:00Z",150,"1"
"Set","2016-06-28T19:50:00Z",1250,"1"
"Rise","2016-06-29T01:35:00Z",155,"1"
"Set","2016-06-29T19:35:00Z",1235,"1"
"Rise","2016-06-30T01:25:00Z",145,"1"
"Set","2016-06-30T19:30:00Z",1230,"1"
"Rise","2016-07-01T01:25:00Z",145,"1"
"Set","2016-07-01T19:40:00Z",1240,"1"
"Rise","2016-07-02T01:15:00Z",135,"1"
"Set","2016-07-02T19:35:00Z",1235,"1"
"Rise","2016-07-03T01:35:00Z",155,"1"
"Set","2016-07-03T19:35:00Z",1235,"1"
"Rise","2016-07-04T02:05:00Z",185,"1"
"Set","2016-07-04T19:40:00Z",1240,"1"
"Rise","2016-07-05T01:20:00Z",140,"1"
"Set","2016-07-05T19:45:00Z",1245,"1"
"Rise","2016-07-06T01:55:00Z",175,"1"
"Set","2016-07-06T19:35:00Z",1235,"1"
"Rise","2016-07-07T01:45:00Z",165,"1"
"Set","2016-07-07T19:35:00Z",1235,"1"
"Rise","2016-07-08T01:30:00Z",150,"1"
"Set","2016-07-08T19:30:00Z",1230,"1"
"Rise","2016-07-09T01:40:00Z",160,"1"
"Set","2016-07-09T19:45:00Z",1245,"1"
"Rise","2016-07-10T01:35:00Z",155,"1"
"Set","2016-07-10T19:45:00Z",1245,"1"
"Rise","2016-07-11T01:40:00Z",160,"1"
"Set","2016-07-11T19:40:00Z",1240,"1"
"Rise","2016-07-12T01:50:00Z",170,"1"
"Set","2016-07-12T19:30:00Z",1230,"1"
"Rise","2016-07-13T01:35:00Z",155,"1"
"Set","2016-07-13T19:30:00Z",1230,"1"
"Rise","2016-07-14T02:05:00Z",185,"1"
"Set","2016-07-14T19:05:00Z",1205,"1"
"Rise","2016-07-15T02:05:00Z",185,"1"
"Set","2016-07-15T19:25:00Z",1225,"1"
"Rise","2016-07-16T02:00:00Z",180,"1"
"Set","2016-07-16T19:30:00Z",1230,"1"
"Rise","2016-07-17T02:00:00Z",180,"1"
"Set","2016-07-17T19:30:00Z",1230,"1"
"Rise","2016-07-18T02:10:00Z",190,"1"
"Set","2016-07-18T19:30:00Z",1230,"1"
"Rise","2016-07-19T02:05:00Z",185,"1"
"Set","2016-07-19T19:25:00Z",1225,"1"
"Rise","2016-07-20T02:00:00Z",180,"1"
"Set","2016-07-20T19:35:00Z",1235,"1"
"Rise","2016-07-21T02:15:00Z",195,"1"
"Set","2016-07-21T19:25:00Z",1225,"1"
"Rise","2016-07-22T02:20:00Z",200,"1"
"Set","2016-07-22T19:20:00Z",1220,"1"
"Rise","2016-07-23T02:30:00Z",210,"1"
"Set","2016-07-23T19:15:00Z",1215,"1"
"Rise","2016-07-24T02:05:00Z",185,"1"
"Set","2016-07-24T19:10:00Z",1210,"1"
"Rise","2016-07-25T02:20:00Z",200,"1"
"Set","2016-07-25T19:20:00Z",1220,"1"
"Rise","2016-07-26T02:15:00Z",195,"1"
"Set","2016-07-26T19:10:00Z",1210,"1"
"Rise","2016-07-27T02:10:00Z",190,"1"
"Set","2016-07-27T19:15:00Z",1215,"1"
"Rise","2016-07-28T02:50:00Z",230,"1"
"Set","2016-07-28T19:05:00Z",1205,"1"
"Rise","2016-07-29T02:25:00Z",205,"1"
"Set","2016-07-29T19:00:00Z",1200,"1"
"Rise","2016-07-30T02:35:00Z",215,"2"
"Set","2016-07-30T18:55:00Z",1195,"2"
"Rise","2016-07-31T02:25:00Z",205,"3"
"Set","2016-07-31T18:55:00Z",1195,"3"
"Rise","2016-08-01T02:25:00Z",205,"4"
"Set","2016-08-01T18:50:00Z",1190,"4"
"Rise","2016-08-02T02:20:00Z",200,"4"
"Set","2016-08-02T18:45:00Z",1185,"4"
"Rise","2016-08-03T02:35:00Z",215,"4"
"Set","2016-08-03T18:50:00Z",1190,"4"
"Rise","2016-08-04T03:05:00Z",245,"5"
"Set","2016-08-04T18:40:00Z",1180,"5"
"Rise","2016-08-05T02:40:00Z",220,"6"
"Set","2016-08-05T18:05:00Z",1145,"6"
"Rise","2016-08-06T02:50:00Z",230,"6"
"Set","2016-08-06T18:35:00Z",1175,"6"
"Rise","2016-08-07T03:00:00Z",240,"6"
"Set","2016-08-07T18:45:00Z",1185,"6"
"Rise","2016-08-08T03:00:00Z",240,"6"
"Set","2016-08-08T18:40:00Z",1180,"6"
"Rise","2016-08-09T02:50:00Z",230,"6"
"Set","2016-08-09T18:40:00Z",1180,"6"
"Rise","2016-08-10T02:45:00Z",225,"6"
"Set","2016-08-10T18:25:00Z",1165,"6"
"Rise","2016-08-11T02:55:00Z",235,"6"
"Set","2016-08-11T18:35:00Z",1175,"6"
"Rise","2016-08-12T02:50:00Z",230,"6"
"Set","2016-08-12T18:20:00Z",1160,"6"
"Rise","2016-08-13T03:10:00Z",250,"6"
"Set","2016-08-13T18:15:00Z",1155,"6"
"Rise","2016-08-14T03:00:00Z",240,"6"
"Set","2016-08-14T18:35:00Z",1175,"6"
"Rise","2016-08-15T02:45:00Z",225,"6"
"Set","2016-08-15T18:35:00Z",1175,"6"
"Rise","2016-08-16T02:50:00Z",230,"7"
"Set","2016-08-16T18:30:00Z",1170,"7"
"Rise","2016-08-17T03:25:00Z",265,"8"
"Set","2016-08-17T18:20:00Z",1160,"8"
"Rise","2016-08-18T03:30:00Z",270,"9"
"Set","2016-08-18T18:25:00Z",1165,"9"
"Rise","2016-08-19T03:25:00Z",265,"10"
"Set","2016-08-19T18:10:00Z",1150,"10"
"Rise","2016-08-20T03:25:00Z",265,"11"
"Set","2016-08-20T18:10:00Z",1150,"11"
"Rise","2016-08-21T03:20:00Z",260,"11"
"Set","2016-08-21T18:00:00Z",1140,"11"
"Rise","2016-08-22T03:45:00Z",285,"11"
"Set","2016-08-22T18:00:00Z",1140,"11"
"Rise","2016-08-23T03:50:00Z",290,"11"
"Set","2016-08-23T18:05:00Z",1145,"11"
"Rise","2016-08-24T03:30:00Z",270,"11"
"Set","2016-08-24T18:10:00Z",1150,"11"
"Rise","2016-08-25T03:30:00Z",270,"11"
"Set","2016-08-25T18:15:00Z",1155,"11"
"Rise","2016-08-26T03:45:00Z",285,"12"
"Set","2016-08-26T18:00:00Z",1140,"12"
"Rise","2016-08-27T03:50:00Z",290,"12-5"
"Set","2016-08-27T17:45:00Z",1125,"13"
"Rise","2016-08-28T03:55:00Z",295,"14"
"Set","2016-08-28T17:50:00Z",1130,"14"
"Rise","2016-08-29T04:00:00Z",300,"14"
"Set","2016-08-29T17:45:00Z",1125,"14"
"Rise","2016-08-30T03:50:00Z",290,"14"
"Set","2016-08-30T17:45:00Z",1125,"14"
