series,timestamp,value,label
Rise,2016-06-20T02:15:00.000Z,195,1
Set,2016-06-20T18:15:00.000Z,1155,1
Rise,2016-06-21T02:20:00.000Z,200,1
Set,2016-06-21T17:55:00.000Z,1135,1
Rise,2016-06-22T02:15:00.000Z,195,1
Set,2016-06-22T18:20:00.000Z,1160,1
Rise,2016-06-23T02:10:00.000Z,190,1
Set,2016-06-23T18:00:00.000Z,1140,1
Rise,2016-06-24T02:25:00.000Z,205,1
Set,2016-06-24T18:10:00.000Z,1150,1
Rise,2016-06-25T02:15:00.000Z,195,1
Set,2016-06-25T18:00:00.000Z,1140,1
Rise,2016-06-26T02:05:00.000Z,185,1
Set,2016-06-26T17:55:00.000Z,1135,1
Rise,2016-06-27T02:15:00.000Z,195,1
Set,2016-06-27T17:45:00.000Z,1125,1
Rise,2016-06-28T02:00:00.000Z,180,1
Set,2016-06-28T17:30:00.000Z,1110,1
Rise,2016-06-29T02:15:00.000Z,195,1
Set,2016-06-29T18:30:00.000Z,1170,1
Rise,2016-06-30T02:10:00.000Z,190,1
Set,2016-06-30T18:05:00.000Z,1145,1
Rise,2016-07-01T02:10:00.000Z,190,1
Set,2016-07-01T18:10:00.000Z,1150,1
Rise,2016-07-02T02:10:00.000Z,190,1
Set,2016-07-02T17:55:00.000Z,1135,1
Rise,2016-07-03T02:30:00.000Z,210,1
Set,2016-07-03T18:15:00.000Z,1155,1
Rise,2016-07-04T02:10:00.000Z,190,1
Set,2016-07-04T18:10:00.000Z,1150,1
Rise,2016-07-05T02:45:00.000Z,225,1
Set,2016-07-05T18:05:00.000Z,1145,1
Rise,2016-07-06T02:35:00.000Z,215,1
Set,2016-07-06T18:15:00.000Z,1155,1
Rise,2016-07-07T02:50:00.000Z,230,1
Set,2016-07-07T18:15:00.000Z,1155,1
Rise,2016-07-08T02:25:00.000Z,205,1
Set,2016-07-08T18:10:00.000Z,1150,1
Rise,2016-07-09T02:25:00.000Z,205,1
Set,2016-07-09T18:00:00.000Z,1140,1
Rise,2016-07-10T02:30:00.000Z,210,1
Set,2016-07-10T18:10:00.000Z,1150,1
Rise,2016-07-11T02:20:00.000Z,200,1
Set,2016-07-11T18:10:00.000Z,1150,1
Rise,2016-07-12T02:40:00.000Z,220,1
Set,2016-07-12T18:20:00.000Z,1160,1
Rise,2016-07-13T02:35:00.000Z,215,1
Set,2016-07-13T18:15:00.000Z,1155,1
Rise,2016-07-14T02:20:00.000Z,200,1
Set,2016-07-14T18:05:00.000Z,1145,1
Rise,2016-07-15T02:25:00.000Z,205,1
Set,2016-07-15T18:10:00.000Z,1150,1
Rise,2016-07-16T02:30:00.000Z,210,1
Set,2016-07-16T18:00:00.000Z,1140,1
Rise,2016-07-17T02:25:00.000Z,205,2
Set,2016-07-17T18:15:00.000Z,1155,2
Rise,2016-07-18T02:35:00.000Z,215,2
Set,2016-07-18T18:10:00.000Z,1150,2
Rise,2016-07-19T02:30:00.000Z,210,2
Set,2016-07-19T18:10:00.000Z,1150,2
Rise,2016-07-20T02:55:00.000Z,235,3
Set,2016-07-20T18:05:00.000Z,1145,3
Rise,2016-07-21T02:40:00.000Z,220,4
Set,2016-07-21T18:05:00.000Z,1145,4
Rise,2016-07-22T02:30:00.000Z,210,4
Set,2016-07-22T18:10:00.000Z,1150,4
Rise,2016-07-23T02:40:00.000Z,220,4
Set,2016-07-23T18:00:00.000Z,1140,4
Rise,2016-07-24T02:45:00.000Z,225,5
Set,2016-07-24T18:00:00.000Z,1140,5
Rise,2016-07-25T02:55:00.000Z,235,6
Set,2016-07-25T18:10:00.000Z,1150,6
Rise,2016-07-26T02:40:00.000Z,220,6
Set,2016-07-26T18:00:00.000Z,1140,6
Rise,2016-07-27T02:50:00.000Z,230,6
Set,2016-07-27T17:50:00.000Z,1130,6
Rise,2016-07-28T03:10:00.000Z,250,7
Set,2016-07-28T17:50:00.000Z,1130,7
Rise,2016-07-29T03:00:00.000Z,240,8
Set,2016-07-29T17:55:00.000Z,1135,8
Rise,2016-07-30T03:00:00.000Z,240,8
Set,2016-07-30T18:00:00.000Z,1140,8
Rise,2016-07-31T03:05:00.000Z,245,8
Set,2016-07-31T18:05:00.000Z,1145,8
Rise,2016-08-01T03:05:00.000Z,245,8
Set,2016-08-01T17:55:00.000Z,1135,8
Rise,2016-08-02T03:05:00.000Z,245,8
Set,2016-08-02T17:55:00.000Z,1135,8
Rise,2016-08-03T03:00:00.000Z,240,8
Set,2016-08-03T18:00:00.000Z,1140,8
Rise,2016-08-04T03:10:00.000Z,250,8
Set,2016-08-04T17:45:00.000Z,1125,8
Rise,2016-08-05T03:05:00.000Z,245,8
Set,2016-08-05T17:55:00.000Z,1135,8
Rise,2016-08-06T03:15:00.000Z,255,8
Set,2016-08-06T17:55:00.000Z,1135,8
Rise,2016-08-07T03:10:00.000Z,250,8
Set,2016-08-07T17:50:00.000Z,1130,8
Rise,2016-08-08T03:20:00.000Z,260,8
Set,2016-08-08T17:35:00.000Z,1115,8
Rise,2016-08-09T03:25:00.000Z,265,8
Set,2016-08-09T17:50:00.000Z,1130,8
Rise,2016-08-10T03:10:00.000Z,250,8
Set,2016-08-10T17:50:00.000Z,1130,8
Rise,2016-08-11T03:10:00.000Z,250,8
Set,2016-08-11T17:45:00.000Z,1125,8
Rise,2016-08-12T03:20:00.000Z,260,8
Set,2016-08-12T17:50:00.000Z,1130,8
Rise,2016-08-13T03:25:00.000Z,265,8
Set,2016-08-13T17:45:00.000Z,1125,8
Rise,2016-08-14T03:05:00.000Z,245,8
Set,2016-08-14T17:55:00.000Z,1135,8
Rise,2016-08-15T03:15:00.000Z,255,8
Set,2016-08-15T17:45:00.000Z,1125,8
Rise,2016-08-16T03:10:00.000Z,250,8
Set,2016-08-16T17:50:00.000Z,1130,8
Rise,2016-08-17T03:10:00.000Z,250,8
Set,2016-08-17T17:40:00.000Z,1120,8
Rise,2016-08-18T03:20:00.000Z,260,8
Set,2016-08-18T17:35:00.000Z,1115,8
Rise,2016-08-19T03:25:00.000Z,265,8
Set,2016-08-19T17:40:00.000Z,1120,8
Rise,2016-08-20T03:15:00.000Z,255,8
Set,2016-08-20T17:30:00.000Z,1110,8
Rise,2016-08-21T03:35:00.000Z,275,9
Set,2016-08-21T17:30:00.000Z,1110,9
Rise,2016-08-22T04:00:00.000Z,300,10
Set,2016-08-22T17:30:00.000Z,1110,10
Rise,2016-08-23T04:15:00.000Z,315,11
Set,2016-08-23T17:10:00.000Z,1090,11
Rise,2016-08-24T04:05:00.000Z,305,12
Set,2016-08-24T17:15:00.000Z,1095,12
Rise,2016-08-25T04:25:00.000Z,325,12-5
Set,2016-08-25T17:30:00.000Z,1110,13
Rise,2016-08-26T05:10:00.000Z,370,discard
Set,2016-08-26T17:20:00.000Z,1100,14
Rise,2016-08-27T04:30:00.000Z,330,14
Set,2016-08-27T17:30:00.000Z,1110,14
Rise,2016-08-28T05:00:00.000Z,360,discard
Set,2016-08-28T17:30:00.000Z,1110,15
Rise,2016-08-29T04:45:00.000Z,345,15
Set,2016-08-29T17:25:00.000Z,1105,15
Rise,2016-08-30T04:35:00.000Z,335,15
Set,2016-08-30T17:25:00.000Z,1105,15
Rise,2016-08-31T04:40:00.000Z,340,15
Set,2016-08-31T17:25:00.000Z,1105,15
Rise,2016-09-01T04:40:00.000Z,340,15
Set,2016-09-01T17:25:00.000Z,1105,15
Rise,2016-09-02T04:35:00.000Z,335,15
Set,2016-09-02T17:20:00.000Z,1100,15
Rise,2016-09-03T04:35:00.000Z,335,15
Set,2016-09-03T17:15:00.000Z,1095,15
Rise,2016-09-04T04:35:00.000Z,335,15
Set,2016-09-04T17:20:00.000Z,1100,15
Rise,2016-09-05T04:35:00.000Z,335,15
Set,2016-09-05T17:25:00.000Z,1105,15
Rise,2016-09-06T04:40:00.000Z,340,15
Set,2016-09-06T17:15:00.000Z,1095,15
Rise,2016-09-07T04:35:00.000Z,335,15
Set,2016-09-07T17:15:00.000Z,1095,15
Rise,2016-09-08T04:40:00.000Z,340,15
Set,2016-09-08T17:20:00.000Z,1100,15
Rise,2016-09-09T04:40:00.000Z,340,15
Set,2016-09-09T17:10:00.000Z,1090,15
Rise,2016-09-10T04:35:00.000Z,335,15
Set,2016-09-10T17:20:00.000Z,1100,15
Rise,2016-09-11T04:35:00.000Z,335,15
Set,2016-09-11T17:15:00.000Z,1095,15
Rise,2016-09-12T04:40:00.000Z,340,15
Set,2016-09-12T17:15:00.000Z,1095,15
Rise,2016-09-13T04:40:00.000Z,340,15
Set,2016-09-13T17:15:00.000Z,1095,15
Rise,2016-09-14T04:35:00.000Z,335,15
Set,2016-09-14T17:20:00.000Z,1100,15
Rise,2016-09-15T04:30:00.000Z,330,15
Set,2016-09-15T17:20:00.000Z,1100,15
Rise,2016-09-16T04:30:00.000Z,330,15
Set,2016-09-16T17:10:00.000Z,1090,15
Rise,2016-09-17T04:30:00.000Z,330,15
Set,2016-09-17T17:15:00.000Z,1095,15
Rise,2016-09-18T04:30:00.000Z,330,15
Set,2016-09-18T17:15:00.000Z,1095,15
Rise,2016-09-19T04:30:00.000Z,330,15
Set,2016-09-19T17:15:00.000Z,1095,15
Rise,2016-09-20T04:35:00.000Z,335,15
Set,2016-09-20T17:05:00.000Z,1085,15
Rise,2016-09-21T04:30:00.000Z,330,15
Set,2016-09-21T17:20:00.000Z,1100,15
Rise,2016-09-22T04:35:00.000Z,335,15
Set,2016-09-22T17:10:00.000Z,1090,15
Rise,2016-09-23T04:30:00.000Z,330,15
Set,2016-09-23T17:15:00.000Z,1095,15
Rise,2016-09-24T04:30:00.000Z,330,15
Set,2016-09-24T17:10:00.000Z,1090,15
Rise,2016-09-25T04:25:00.000Z,325,15
Set,2016-09-25T17:10:00.000Z,1090,15
Rise,2016-09-26T04:25:00.000Z,325,15
Set,2016-09-26T17:05:00.000Z,1085,15
Rise,2016-09-27T04:25:00.000Z,325,15
Set,2016-09-27T17:05:00.000Z,1085,15
Rise,2016-09-28T04:30:00.000Z,330,15
Set,2016-09-28T17:05:00.000Z,1085,15
Rise,2016-09-29T04:30:00.000Z,330,15
Set,2016-09-29T17:05:00.000Z,1085,15
Rise,2016-09-30T04:30:00.000Z,330,15
Set,2016-09-30T17:05:00.000Z,1085,15
Rise,2016-10-01T04:30:00.000Z,330,15
Set,2016-10-01T17:00:00.000Z,1080,15
Rise,2016-10-02T04:40:00.000Z,340,15
Set,2016-10-02T17:00:00.000Z,1080,15
Rise,2016-10-03T04:35:00.000Z,335,15
Set,2016-10-03T17:00:00.000Z,1080,15
Rise,2016-10-04T04:30:00.000Z,330,15
Set,2016-10-04T16:55:00.000Z,1075,15
Rise,2016-10-05T04:35:00.000Z,335,15
Set,2016-10-05T16:50:00.000Z,1070,15
Rise,2016-10-06T04:45:00.000Z,345,15
Set,2016-10-06T16:55:00.000Z,1075,15
Rise,2016-10-07T04:40:00.000Z,340,15
Set,2016-10-07T16:50:00.000Z,1070,15
Rise,2016-10-08T04:40:00.000Z,340,15
Set,2016-10-08T16:50:00.000Z,1070,15
Rise,2016-10-09T04:40:00.000Z,340,15
Set,2016-10-09T16:40:00.000Z,1060,15
Rise,2016-10-10T04:40:00.000Z,340,15
Set,2016-10-10T16:40:00.000Z,1060,15
Rise,2016-10-11T04:45:00.000Z,345,15
Set,2016-10-11T16:40:00.000Z,1060,15
Rise,2016-10-12T04:40:00.000Z,340,15
Set,2016-10-12T16:50:00.000Z,1070,15
Rise,2016-10-13T04:40:00.000Z,340,15
Set,2016-10-13T16:55:00.000Z,1075,15
Rise,2016-10-14T04:35:00.000Z,335,15
Set,2016-10-14T16:35:00.000Z,1055,15
Rise,2016-10-15T04:40:00.000Z,340,15
Set,2016-10-15T16:40:00.000Z,1060,15
Rise,2016-10-16T04:35:00.000Z,335,15
Set,2016-10-16T16:40:00.000Z,1060,15
Rise,2016-10-17T04:35:00.000Z,335,15
Set,2016-10-17T16:40:00.000Z,1060,15
Rise,2016-10-18T04:40:00.000Z,340,15
Set,2016-10-18T16:40:00.000Z,1060,15
Rise,2016-10-19T04:40:00.000Z,340,15
Set,2016-10-19T16:40:00.000Z,1060,15
Rise,2016-10-20T04:35:00.000Z,335,15
Set,2016-10-20T16:35:00.000Z,1055,15
Rise,2016-10-21T04:40:00.000Z,340,15
Set,2016-10-21T16:40:00.000Z,1060,15
Rise,2016-10-22T04:40:00.000Z,340,15
Set,2016-10-22T16:35:00.000Z,1055,15
Rise,2016-10-23T04:40:00.000Z,340,15
Set,2016-10-23T16:45:00.000Z,1065,15
