series,timestamp,value,label
Rise,2016-06-20T02:20:00.000Z,200,1
Set,2016-06-20T19:10:00.000Z,1210,1
Rise,2016-06-21T02:15:00.000Z,195,1
Set,2016-06-21T19:20:00.000Z,1220,1
Rise,2016-06-22T02:40:00.000Z,220,1
Set,2016-06-22T19:30:00.000Z,1230,1
Rise,2016-06-23T02:35:00.000Z,215,1
Set,2016-06-23T19:25:00.000Z,1225,1
Rise,2016-06-24T02:50:00.000Z,230,1
Set,2016-06-24T19:25:00.000Z,1225,1
Rise,2016-06-25T02:20:00.000Z,200,1
Set,2016-06-25T19:25:00.000Z,1225,1
Rise,2016-06-26T02:40:00.000Z,220,1
Set,2016-06-26T19:20:00.000Z,1220,1
Rise,2016-06-27T02:35:00.000Z,215,1
Set,2016-06-27T19:25:00.000Z,1225,1
Rise,2016-06-28T02:25:00.000Z,205,1
Set,2016-06-28T19:35:00.000Z,1235,1
Rise,2016-06-29T02:40:00.000Z,220,1
Set,2016-06-29T19:20:00.000Z,1220,1
Rise,2016-06-30T02:30:00.000Z,210,1
Set,2016-06-30T19:25:00.000Z,1225,1
Rise,2016-07-01T02:15:00.000Z,195,1
Set,2016-07-01T19:40:00.000Z,1240,1
Rise,2016-07-02T02:15:00.000Z,195,1
Set,2016-07-02T18:55:00.000Z,1195,1
Rise,2016-07-03T02:30:00.000Z,210,1
Set,2016-07-03T19:05:00.000Z,1205,1
Rise,2016-07-04T02:45:00.000Z,225,1
Set,2016-07-04T19:20:00.000Z,1220,1
Rise,2016-07-05T02:30:00.000Z,210,1
Set,2016-07-05T19:10:00.000Z,1210,1
Rise,2016-07-06T02:50:00.000Z,230,1
Set,2016-07-06T19:10:00.000Z,1210,1
Rise,2016-07-07T02:30:00.000Z,210,1
Set,2016-07-07T19:20:00.000Z,1220,1
Rise,2016-07-08T02:40:00.000Z,220,1
Set,2016-07-08T19:00:00.000Z,1200,1
Rise,2016-07-09T02:40:00.000Z,220,1
Set,2016-07-09T19:10:00.000Z,1210,1
Rise,2016-07-10T02:35:00.000Z,215,2
Set,2016-07-10T19:05:00.000Z,1205,2
Rise,2016-07-11T02:45:00.000Z,225,2
Set,2016-07-11T19:05:00.000Z,1205,2
Rise,2016-07-12T02:50:00.000Z,230,2
Set,2016-07-12T18:55:00.000Z,1195,2
Rise,2016-07-13T02:50:00.000Z,230,2
Set,2016-07-13T19:00:00.000Z,1200,2
Rise,2016-07-14T03:20:00.000Z,260,discard
Set,2016-07-14T19:05:00.000Z,1205,2
Rise,2016-07-15T02:50:00.000Z,230,2
Set,2016-07-15T19:25:00.000Z,1225,discard
Rise,2016-07-16T02:55:00.000Z,235,2
Set,2016-07-16T19:00:00.000Z,1200,2
Rise,2016-07-17T03:45:00.000Z,285,discard
Set,2016-07-17T18:55:00.000Z,1195,2
Rise,2016-07-18T03:00:00.000Z,240,2
Set,2016-07-18T18:50:00.000Z,1190,2
Rise,2016-07-19T03:30:00.000Z,270,discard
Set,2016-07-19T18:55:00.000Z,1195,2
Rise,2016-07-20T03:15:00.000Z,255,2
Set,2016-07-20T19:10:00.000Z,1210,2
Rise,2016-07-21T02:35:00.000Z,215,3
Set,2016-07-21T19:20:00.000Z,1220,3
Rise,2016-07-22T02:45:00.000Z,225,3
Set,2016-07-22T19:10:00.000Z,1210,3
Rise,2016-07-23T02:50:00.000Z,230,4
Set,2016-07-23T19:10:00.000Z,1210,4
Rise,2016-07-24T02:50:00.000Z,230,4
Set,2016-07-24T19:05:00.000Z,1205,4
Rise,2016-07-25T02:50:00.000Z,230,4
Set,2016-07-25T19:10:00.000Z,1210,4
Rise,2016-07-26T02:55:00.000Z,235,4
Set,2016-07-26T19:10:00.000Z,1210,4
Rise,2016-07-27T03:00:00.000Z,240,5
Set,2016-07-27T18:40:00.000Z,1180,5
Rise,2016-07-28T03:05:00.000Z,245,5
Set,2016-07-28T18:35:00.000Z,1175,5
Rise,2016-07-29T03:05:00.000Z,245,5
Set,2016-07-29T18:35:00.000Z,1175,5
Rise,2016-07-30T03:10:00.000Z,250,5
Set,2016-07-30T18:30:00.000Z,1170,5
Rise,2016-07-31T03:05:00.000Z,245,5
Set,2016-07-31T18:35:00.000Z,1175,5
Rise,2016-08-01T03:20:00.000Z,260,6
Set,2016-08-01T18:25:00.000Z,1165,6
Rise,2016-08-02T03:15:00.000Z,255,7
Set,2016-08-02T18:20:00.000Z,1160,7
Rise,2016-08-03T03:30:00.000Z,270,8
Set,2016-08-03T18:10:00.000Z,1150,8
Rise,2016-08-04T03:25:00.000Z,265,9
Set,2016-08-04T18:20:00.000Z,1160,9
Rise,2016-08-05T03:20:00.000Z,260,9
Set,2016-08-05T18:10:00.000Z,1150,9
Rise,2016-08-06T03:40:00.000Z,280,9
Set,2016-08-06T18:20:00.000Z,1160,9
Rise,2016-08-07T03:25:00.000Z,265,9
Set,2016-08-07T18:10:00.000Z,1150,9
Rise,2016-08-08T03:20:00.000Z,260,9
Set,2016-08-08T18:15:00.000Z,1155,9
