"series","timestamp","value","label"
"Rise","2017-06-20T02:25:00Z",205,"1"
"Set","2017-06-20T19:25:00Z",1225,"1"
"Rise","2017-06-21T02:40:00Z",220,"1"
"Set","2017-06-21T19:15:00Z",1215,"1"
"Rise","2017-06-22T02:40:00Z",220,"1"
"Set","2017-06-22T19:15:00Z",1215,"1"
"Rise","2017-06-23T03:00:00Z",240,"1"
"Set","2017-06-23T19:10:00Z",1210,"1"
"Rise","2017-06-24T02:35:00Z",215,"1"
"Set","2017-06-24T19:15:00Z",1215,"1"
"Rise","2017-06-25T02:30:00Z",210,"1"
"Set","2017-06-25T19:20:00Z",1220,"1"
"Rise","2017-06-26T02:50:00Z",230,"1"
"Set","2017-06-26T19:15:00Z",1215,"1"
"Rise","2017-06-27T02:35:00Z",215,"1"
"Set","2017-06-27T19:00:00Z",1200,"1"
"Rise","2017-06-28T02:45:00Z",225,"1"
"Set","2017-06-28T19:10:00Z",1210,"1"
"Rise","2017-06-29T02:50:00Z",230,"1"
"Set","2017-06-29T19:05:00Z",1205,"1"
"Rise","2017-06-30T02:45:00Z",225,"1"
"Set","2017-06-30T19:10:00Z",1210,"1"
"Rise","2017-07-01T02:35:00Z",215,"1"
"Set","2017-07-01T19:30:00Z",1230,"1"
"Rise","2017-07-02T02:45:00Z",225,"1"
"Set","2017-07-02T19:00:00Z",1200,"1"
"Rise","2017-07-03T02:35:00Z",215,"1"
"Set","2017-07-03T19:10:00Z",1210,"1"
"Rise","2017-07-04T02:35:00Z",215,"2"
"Set","2017-07-04T19:10:00Z",1210,"2"
"Rise","2017-07-05T02:40:00Z",220,"2"
"Set","2017-07-05T19:05:00Z",1205,"2"
"Rise","2017-07-06T02:40:00Z",220,"3"
"Set","2017-07-06T19:20:00Z",1220,"3"
"Rise","2017-07-07T02:45:00Z",225,"4"
"Set","2017-07-07T19:05:00Z",1205,"4"
"Rise","2017-07-08T02:35:00Z",215,"4"
"Set","2017-07-08T19:10:00Z",1210,"4"
"Rise","2017-07-09T03:10:00Z",250,"4"
"Set","2017-07-09T19:10:00Z",1210,"4"
"Rise","2017-07-10T03:00:00Z",240,"4"
"Set","2017-07-10T19:05:00Z",1205,"4"
"Rise","2017-07-11T02:55:00Z",235,"5"
"Set","2017-07-11T19:05:00Z",1205,"5"
"Rise","2017-07-12T02:55:00Z",235,"5"
"Set","2017-07-12T18:45:00Z",1185,"5"
"Rise","2017-07-13T02:45:00Z",225,"5"
"Set","2017-07-13T19:05:00Z",1205,"5"
"Rise","2017-07-14T02:50:00Z",230,"5"
"Set","2017-07-14T19:05:00Z",1205,"5"
"Rise","2017-07-15T03:20:00Z",260,"5"
"Set","2017-07-15T19:05:00Z",1205,"5"
"Rise","2017-07-16T03:05:00Z",245,"5"
"Set","2017-07-16T19:10:00Z",1210,"5"
"Rise","2017-07-17T03:05:00Z",245,"5"
"Set","2017-07-17T19:05:00Z",1205,"5"
"Rise","2017-07-18T02:50:00Z",230,"5"
"Set","2017-07-18T19:05:00Z",1205,"5"
"Rise","2017-07-19T02:55:00Z",235,"5"
"Set","2017-07-19T18:55:00Z",1195,"5"
"Rise","2017-07-20T02:55:00Z",235,"5"
"Set","2017-07-20T18:55:00Z",1195,"5"
"Rise","2017-07-21T03:00:00Z",240,"5"
"Set","2017-07-21T19:00:00Z",1200,"5"
"Rise","2017-07-22T03:05:00Z",245,"5"
"Set","2017-07-22T19:00:00Z",1200,"5"
"Rise","2017-07-23T02:55:00Z",235,"6"
"Set","2017-07-23T18:50:00Z",1190,"6"
"Rise","2017-07-24T03:25:00Z",265,"7"
"Set","2017-07-24T18:45:00Z",1185,"7"
"Rise","2017-07-25T03:15:00Z",255,"7"
"Set","2017-07-25T18:30:00Z",1170,"7"
"Rise","2017-07-26T03:10:00Z",250,"8"
"Set","2017-07-26T18:50:00Z",1190,"8"
