"series","timestamp","value","label"
"Rise","2017-06-20T02:20:00Z",200,"1"
"Set","2017-06-20T19:25:00Z",1225,"1"
"Rise","2017-06-21T02:25:00Z",205,"1"
"Set","2017-06-21T19:20:00Z",1220,"1"
"Rise","2017-06-22T02:20:00Z",200,"1"
"Set","2017-06-22T19:25:00Z",1225,"1"
"Rise","2017-06-23T02:40:00Z",220,"1"
"Set","2017-06-23T19:20:00Z",1220,"1"
"Rise","2017-06-24T02:10:00Z",190,"1"
"Set","2017-06-24T19:15:00Z",1215,"1"
"Rise","2017-06-25T02:20:00Z",200,"1"
"Set","2017-06-25T19:20:00Z",1220,"1"
"Rise","2017-06-26T02:30:00Z",210,"1"
"Set","2017-06-26T19:35:00Z",1235,"1"
"Rise","2017-06-27T02:20:00Z",200,"1"
"Set","2017-06-27T19:15:00Z",1215,"1"
"Rise","2017-06-28T02:40:00Z",220,"1"
"Set","2017-06-28T19:10:00Z",1210,"1"
"Rise","2017-06-29T02:30:00Z",210,"1"
"Set","2017-06-29T19:20:00Z",1220,"1"
"Rise","2017-06-30T02:20:00Z",200,"1"
"Set","2017-06-30T19:20:00Z",1220,"1"
"Rise","2017-07-01T02:30:00Z",210,"1"
"Set","2017-07-01T19:30:00Z",1230,"1"
"Rise","2017-07-02T02:30:00Z",210,"1"
"Set","2017-07-02T19:15:00Z",1215,"1"
"Rise","2017-07-03T02:45:00Z",225,"1"
"Set","2017-07-03T19:20:00Z",1220,"1"
"Rise","2017-07-04T02:25:00Z",205,"1"
"Set","2017-07-04T19:05:00Z",1205,"1"
"Rise","2017-07-05T02:30:00Z",210,"1"
"Set","2017-07-05T19:15:00Z",1215,"1"
"Rise","2017-07-06T02:35:00Z",215,"1"
"Set","2017-07-06T19:15:00Z",1215,"1"
"Rise","2017-07-07T02:30:00Z",210,"1"
"Set","2017-07-07T19:10:00Z",1210,"1"
"Rise","2017-07-08T02:20:00Z",200,"1"
"Set","2017-07-08T19:15:00Z",1215,"1"
"Rise","2017-07-09T02:35:00Z",215,"1"
"Set","2017-07-09T19:15:00Z",1215,"1"
"Rise","2017-07-10T02:30:00Z",210,"1"
