"series","timestamp","value","label"
"Rise","2017-06-20T02:10:00Z",190,"1"
"Set","2017-06-20T19:10:00Z",1210,"1"
"Rise","2017-06-21T02:20:00Z",200,"2"
"Set","2017-06-21T19:10:00Z",1210,"2"
"Rise","2017-06-22T02:35:00Z",215,"3"
"Set","2017-06-22T19:10:00Z",1210,"3"
"Rise","2017-06-23T02:45:00Z",225,"4"
"Set","2017-06-23T19:15:00Z",1215,"4"
"Rise","2017-06-24T02:30:00Z",210,"4"
"Set","2017-06-24T19:10:00Z",1210,"4"
"Rise","2017-06-25T02:30:00Z",210,"5"
"Set","2017-06-25T19:30:00Z",1230,"5"
"Rise","2017-06-26T02:25:00Z",205,"5"
"Set","2017-06-26T19:15:00Z",1215,"5"
"Rise","2017-06-27T02:30:00Z",210,"5"
"Set","2017-06-27T19:15:00Z",1215,"5"
"Rise","2017-06-28T02:20:00Z",200,"5"
"Set","2017-06-28T19:15:00Z",1215,"5"
"Rise","2017-06-29T02:35:00Z",215,"5"
"Set","2017-06-29T19:10:00Z",1210,"5"
"Rise","2017-06-30T02:30:00Z",210,"5"
"Set","2017-06-30T19:05:00Z",1205,"5"
"Rise","2017-07-01T02:30:00Z",210,"5"
"Set","2017-07-01T19:20:00Z",1220,"5"
"Rise","2017-07-02T02:40:00Z",220,"5"
"Set","2017-07-02T19:00:00Z",1200,"5"
"Rise","2017-07-03T02:45:00Z",225,"5"
"Set","2017-07-03T19:05:00Z",1205,"5"
"Rise","2017-07-04T02:45:00Z",225,"5"
"Set","2017-07-04T19:05:00Z",1205,"5"
"Rise","2017-07-05T02:35:00Z",215,"5"
"Set","2017-07-05T19:05:00Z",1205,"5"
"Rise","2017-07-06T02:55:00Z",235,"5"
"Set","2017-07-06T18:55:00Z",1195,"5"
"Rise","2017-07-07T02:35:00Z",215,"5"
"Set","2017-07-07T18:50:00Z",1190,"5"
"Rise","2017-07-08T02:45:00Z",225,"5"
"Set","2017-07-08T19:10:00Z",1210,"5"
"Rise","2017-07-09T02:55:00Z",235,"5"
"Set","2017-07-09T19:00:00Z",1200,"5"
"Rise","2017-07-10T02:55:00Z",235,"5"
"Set","2017-07-10T18:45:00Z",1185,"5"
"Rise","2017-07-11T03:30:00Z",270,"5"
"Set","2017-07-11T19:05:00Z",1205,"5"
"Rise","2017-07-12T02:40:00Z",220,"5"
"Set","2017-07-12T18:30:00Z",1170,"5"
"Rise","2017-07-13T03:05:00Z",245,"5"
"Set","2017-07-13T19:25:00Z",1225,"5"
"Rise","2017-07-14T02:55:00Z",235,"6"
"Set","2017-07-14T18:45:00Z",1185,"6"
"Rise","2017-07-15T03:05:00Z",245,"7"
"Set","2017-07-15T18:50:00Z",1190,"7"
"Rise","2017-07-16T03:05:00Z",245,"7"
"Set","2017-07-16T18:50:00Z",1190,"7"
"Rise","2017-07-17T03:15:00Z",255,"8"
"Set","2017-07-17T18:50:00Z",1190,"8"
"Rise","2017-07-18T03:15:00Z",255,"8"
"Set","2017-07-18T18:55:00Z",1195,"8"
"Rise","2017-07-19T03:20:00Z",260,"8"
"Set","2017-07-19T18:45:00Z",1185,"8"
"Rise","2017-07-20T03:25:00Z",265,"9"
"Set","2017-07-20T18:25:00Z",1165,"9"
"Rise","2017-07-21T03:15:00Z",255,"9"
"Set","2017-07-21T18:20:00Z",1160,"9"
"Rise","2017-07-22T03:25:00Z",265,"9"
"Set","2017-07-22T18:35:00Z",1175,"9"
"Rise","2017-07-23T03:30:00Z",270,"9"
"Set","2017-07-23T18:35:00Z",1175,"9"
"Rise","2017-07-24T03:30:00Z",270,"9"
"Set","2017-07-24T18:25:00Z",1165,"9"
"Rise","2017-07-25T03:25:00Z",265,"9"
"Set","2017-07-25T18:30:00Z",1170,"9"
"Rise","2017-07-26T03:50:00Z",290,"9"
"Set","2017-07-26T18:25:00Z",1165,"9"
"Rise","2017-07-27T03:35:00Z",275,"9"
"Set","2017-07-27T18:30:00Z",1170,"9"
"Rise","2017-07-28T03:40:00Z",280,"9"
"Set","2017-07-28T18:20:00Z",1160,"9"
"Rise","2017-07-29T03:45:00Z",285,"9"
"Set","2017-07-29T18:30:00Z",1170,"9"
"Rise","2017-07-30T03:40:00Z",280,"9"
"Set","2017-07-30T18:25:00Z",1165,"9"
"Rise","2017-07-31T03:40:00Z",280,"9"
"Set","2017-07-31T18:25:00Z",1165,"9"
"Rise","2017-08-01T03:40:00Z",280,"9"
"Set","2017-08-01T18:25:00Z",1165,"9"
"Rise","2017-08-02T03:40:00Z",280,"9"
"Set","2017-08-02T18:25:00Z",1165,"9"
"Rise","2017-08-03T03:45:00Z",285,"9"
"Set","2017-08-03T18:15:00Z",1155,"9"
"Rise","2017-08-04T03:45:00Z",285,"9"
"Set","2017-08-04T18:20:00Z",1160,"9"
"Rise","2017-08-05T04:00:00Z",300,"9"
"Set","2017-08-05T18:10:00Z",1150,"9"
"Rise","2017-08-06T03:45:00Z",285,"9"
"Set","2017-08-06T18:10:00Z",1150,"9"
"Rise","2017-08-07T03:25:00Z",265,"9"
"Set","2017-08-07T18:25:00Z",1165,"9"
"Rise","2017-08-08T03:50:00Z",290,"9"
"Set","2017-08-08T18:20:00Z",1160,"9"
"Rise","2017-08-09T03:45:00Z",285,"9"
"Set","2017-08-09T18:10:00Z",1150,"9"
"Rise","2017-08-10T03:45:00Z",285,"9"
"Set","2017-08-10T18:10:00Z",1150,"9"
"Rise","2017-08-11T03:55:00Z",295,"9"
"Set","2017-08-11T17:55:00Z",1135,"9"
"Rise","2017-08-12T03:25:00Z",265,"9"
"Set","2017-08-12T18:10:00Z",1150,"9"
"Rise","2017-08-13T03:50:00Z",290,"9"
"Set","2017-08-13T18:05:00Z",1145,"9"
"Rise","2017-08-14T04:00:00Z",300,"9"
"Set","2017-08-14T18:05:00Z",1145,"9"
"Rise","2017-08-15T04:10:00Z",310,"9"
"Set","2017-08-15T18:05:00Z",1145,"9"
"Rise","2017-08-16T04:05:00Z",305,"9"
"Set","2017-08-16T18:05:00Z",1145,"9"
"Rise","2017-08-17T04:15:00Z",315,"9"
"Set","2017-08-17T18:05:00Z",1145,"9"
"Rise","2017-08-18T04:10:00Z",310,"9"
"Set","2017-08-18T18:10:00Z",1150,"9"
"Rise","2017-08-19T04:10:00Z",310,"9"
"Set","2017-08-19T18:00:00Z",1140,"9"
"Rise","2017-08-20T04:05:00Z",305,"9"
"Set","2017-08-20T17:55:00Z",1135,"9"
"Rise","2017-08-21T03:55:00Z",295,"9"
"Set","2017-08-21T18:00:00Z",1140,"9"
"Rise","2017-08-22T04:10:00Z",310,"10"
"Set","2017-08-22T17:45:00Z",1125,"10"
"Rise","2017-08-23T04:15:00Z",315,"11"
"Set","2017-08-23T17:50:00Z",1130,"11"
"Rise","2017-08-24T04:25:00Z",325,"11"
"Set","2017-08-24T17:50:00Z",1130,"11"
"Rise","2017-08-25T04:10:00Z",310,"11"
"Set","2017-08-25T17:55:00Z",1135,"11"
"Rise","2017-08-26T04:30:00Z",330,"11"
"Set","2017-08-26T17:55:00Z",1135,"11"
"Rise","2017-08-27T04:15:00Z",315,"11"
"Set","2017-08-27T17:50:00Z",1130,"11"
"Rise","2017-08-28T04:30:00Z",330,"11"
"Set","2017-08-28T17:45:00Z",1125,"11"
"Rise","2017-08-29T04:20:00Z",320,"11"
"Set","2017-08-29T17:55:00Z",1135,"11"
"Rise","2017-08-30T04:05:00Z",305,"11"
"Set","2017-08-30T17:55:00Z",1135,"11"
"Rise","2017-08-31T04:10:00Z",310,"11"
"Set","2017-08-31T17:45:00Z",1125,"11"
"Rise","2017-09-01T04:25:00Z",325,"11"
"Set","2017-09-01T17:45:00Z",1125,"11"
"Rise","2017-09-02T04:20:00Z",320,"11"
"Set","2017-09-02T17:30:00Z",1110,"11"
"Rise","2017-09-03T04:25:00Z",325,"11"
"Set","2017-09-03T17:25:00Z",1105,"11"
"Rise","2017-09-04T04:25:00Z",325,"11"
"Set","2017-09-04T17:35:00Z",1115,"11"
"Rise","2017-09-05T04:35:00Z",335,"11"
"Set","2017-09-05T17:40:00Z",1120,"11"
"Rise","2017-09-06T04:25:00Z",325,"11"
"Set","2017-09-06T17:35:00Z",1115,"11"
"Rise","2017-09-07T04:30:00Z",330,"11"
"Set","2017-09-07T17:35:00Z",1115,"11"
"Rise","2017-09-08T04:20:00Z",320,"11"
"Set","2017-09-08T17:30:00Z",1110,"11"
"Rise","2017-09-09T04:50:00Z",350,"11"
"Set","2017-09-09T17:25:00Z",1105,"11"
"Rise","2017-09-10T04:35:00Z",335,"11"
"Set","2017-09-10T17:25:00Z",1105,"11"
"Rise","2017-09-11T04:50:00Z",350,"11"
"Set","2017-09-11T17:20:00Z",1100,"11"
"Rise","2017-09-12T04:20:00Z",320,"11"
"Set","2017-09-12T17:20:00Z",1100,"11"
"Rise","2017-09-13T04:45:00Z",345,"11"
"Set","2017-09-13T17:20:00Z",1100,"11"
"Rise","2017-09-14T04:20:00Z",320,"11-5"
"Set","2017-09-14T17:20:00Z",1100,"12"
"Rise","2017-09-15T04:30:00Z",330,"13"
"Set","2017-09-15T17:25:00Z",1105,"13"
"Rise","2017-09-16T04:40:00Z",340,"14"
"Set","2017-09-16T17:20:00Z",1100,"14"
"Rise","2017-09-17T04:40:00Z",340,"14-5"
"Set","2017-09-17T17:25:00Z",1105,"15"
"Rise","2017-09-18T04:55:00Z",355,"15"
"Set","2017-09-18T17:25:00Z",1105,"15"
"Rise","2017-09-19T05:05:00Z",365,"16"
"Set","2017-09-19T17:35:00Z",1115,"16"
"Rise","2017-09-20T05:00:00Z",360,"17"
"Set","2017-09-20T17:30:00Z",1110,"17"
"Rise","2017-09-21T05:00:00Z",360,"17"
"Set","2017-09-21T17:30:00Z",1110,"17"
"Rise","2017-09-22T05:05:00Z",365,"17"
"Set","2017-09-22T17:35:00Z",1115,"17"
"Rise","2017-09-23T05:00:00Z",360,"18"
"Set","2017-09-23T17:35:00Z",1115,"18"
"Rise","2017-09-24T05:05:00Z",365,"19"
"Set","2017-09-24T17:35:00Z",1115,"19"
"Rise","2017-09-25T05:10:00Z",370,"20"
"Set","2017-09-25T17:40:00Z",1120,"20"
"Rise","2017-09-26T05:15:00Z",375,"21"
"Set","2017-09-26T17:45:00Z",1125,"21"
"Rise","2017-09-27T05:10:00Z",370,"21"
"Set","2017-09-27T17:40:00Z",1120,"21"
"Rise","2017-09-28T05:30:00Z",390,"22"
"Set","2017-09-28T17:45:00Z",1125,"22"
"Rise","2017-09-29T05:30:00Z",390,"23"
"Set","2017-09-29T17:50:00Z",1130,"23"
"Rise","2017-09-30T05:40:00Z",400,"23"
"Set","2017-09-30T17:50:00Z",1130,"23"
"Rise","2017-10-01T05:30:00Z",390,"23"
"Set","2017-10-01T17:45:00Z",1125,"23"
"Rise","2017-10-02T05:40:00Z",400,"24"
"Set","2017-10-02T17:55:00Z",1135,"24"
"Rise","2017-10-03T05:40:00Z",400,"24"
"Set","2017-10-03T17:50:00Z",1130,"24"
"Rise","2017-10-04T05:30:00Z",390,"24"
"Set","2017-10-04T17:50:00Z",1130,"24"
"Rise","2017-10-05T05:40:00Z",400,"24"
"Set","2017-10-05T17:45:00Z",1125,"24"
"Rise","2017-10-06T05:35:00Z",395,"24"
"Set","2017-10-06T17:45:00Z",1125,"24"
"Rise","2017-10-07T05:35:00Z",395,"24"
