series,timestamp,value,label
Rise,2017-06-20T02:15:00.000Z,195,1
Set,2017-06-20T19:30:00.000Z,1230,1
Rise,2017-06-21T02:35:00.000Z,215,1
Set,2017-06-21T19:20:00.000Z,1220,1
Rise,2017-06-22T02:20:00.000Z,200,1
Set,2017-06-22T19:15:00.000Z,1215,1
Rise,2017-06-23T03:00:00.000Z,240,1
Set,2017-06-23T19:20:00.000Z,1220,1
Rise,2017-06-24T02:20:00.000Z,200,1
Set,2017-06-24T19:10:00.000Z,1210,1
Rise,2017-06-25T02:20:00.000Z,200,1
Set,2017-06-25T19:30:00.000Z,1230,1
Rise,2017-06-26T02:20:00.000Z,200,1
Set,2017-06-26T19:15:00.000Z,1215,1
Rise,2017-06-27T02:25:00.000Z,205,1
Set,2017-06-27T19:05:00.000Z,1205,1
Rise,2017-06-28T02:30:00.000Z,210,1
Set,2017-06-28T19:00:00.000Z,1200,1
Rise,2017-06-29T02:35:00.000Z,215,1
Set,2017-06-29T19:05:00.000Z,1205,1
Rise,2017-06-30T02:50:00.000Z,230,1
Set,2017-06-30T19:05:00.000Z,1205,1
Rise,2017-07-01T02:40:00.000Z,220,1
Set,2017-07-01T19:05:00.000Z,1205,1
Rise,2017-07-02T02:45:00.000Z,225,1
Set,2017-07-02T18:50:00.000Z,1190,1
Rise,2017-07-03T02:55:00.000Z,235,1
Set,2017-07-03T19:05:00.000Z,1205,1
Rise,2017-07-04T02:40:00.000Z,220,1
Set,2017-07-04T19:10:00.000Z,1210,1
Rise,2017-07-05T02:25:00.000Z,205,1
Set,2017-07-05T19:00:00.000Z,1200,1
Rise,2017-07-06T02:25:00.000Z,205,1
Set,2017-07-06T19:10:00.000Z,1210,1
Rise,2017-07-07T02:45:00.000Z,225,1
Set,2017-07-07T18:55:00.000Z,1195,1
Rise,2017-07-08T02:25:00.000Z,205,2
Set,2017-07-08T19:10:00.000Z,1210,2
Rise,2017-07-09T02:35:00.000Z,215,3
Set,2017-07-09T19:00:00.000Z,1200,3
Rise,2017-07-10T02:45:00.000Z,225,3
Set,2017-07-10T19:05:00.000Z,1205,3
Rise,2017-07-11T02:55:00.000Z,235,3
Set,2017-07-11T19:15:00.000Z,1215,discard
Rise,2017-07-12T02:40:00.000Z,220,3
Set,2017-07-12T19:00:00.000Z,1200,3
Rise,2017-07-13T02:50:00.000Z,230,3
Set,2017-07-13T19:00:00.000Z,1200,3
Rise,2017-07-14T02:35:00.000Z,215,3
Set,2017-07-14T19:00:00.000Z,1200,3
Rise,2017-07-15T02:50:00.000Z,230,3
Set,2017-07-15T19:00:00.000Z,1200,3
Rise,2017-07-16T02:50:00.000Z,230,3
Set,2017-07-16T18:55:00.000Z,1195,3
Rise,2017-07-17T02:45:00.000Z,225,3
Set,2017-07-17T19:00:00.000Z,1200,3
Rise,2017-07-18T02:45:00.000Z,225,3
Set,2017-07-18T19:05:00.000Z,1205,3
Rise,2017-07-19T03:00:00.000Z,240,3
Set,2017-07-19T19:05:00.000Z,1205,3
Rise,2017-07-20T02:55:00.000Z,235,3
Set,2017-07-20T18:55:00.000Z,1195,3
Rise,2017-07-21T03:00:00.000Z,240,3
Set,2017-07-21T19:20:00.000Z,1220,discard
Rise,2017-07-22T02:55:00.000Z,235,3
Set,2017-07-22T19:05:00.000Z,1205,discard
Rise,2017-07-23T03:10:00.000Z,250,4
Set,2017-07-23T18:30:00.000Z,1170,4
Rise,2017-07-24T03:15:00.000Z,255,5
Set,2017-07-24T18:40:00.000Z,1180,5
Rise,2017-07-25T03:35:00.000Z,275,discard
Set,2017-07-25T18:25:00.000Z,1165,6
Rise,2017-07-26T03:10:00.000Z,250,7
Set,2017-07-26T18:30:00.000Z,1170,7
Rise,2017-07-27T03:20:00.000Z,260,7
Set,2017-07-27T18:10:00.000Z,1150,7
Rise,2017-07-28T03:15:00.000Z,255,7
Set,2017-07-28T18:10:00.000Z,1150,7
Rise,2017-07-29T03:10:00.000Z,250,7
Set,2017-07-29T18:15:00.000Z,1155,7
Rise,2017-07-30T03:30:00.000Z,270,7
Set,2017-07-30T18:20:00.000Z,1160,7
Rise,2017-07-31T03:20:00.000Z,260,7
Set,2017-07-31T18:15:00.000Z,1155,7
Rise,2017-08-01T03:20:00.000Z,260,8
Set,2017-08-01T18:15:00.000Z,1155,8
Rise,2017-08-02T03:00:00.000Z,240,9
Set,2017-08-02T18:15:00.000Z,1155,9
