series,timestamp,value,label
Rise,2017-06-20T02:15:00.000Z,195,1
Set,2017-06-20T19:25:00.000Z,1225,1
Rise,2017-06-21T02:20:00.000Z,200,1
Set,2017-06-21T19:30:00.000Z,1230,1
Rise,2017-06-22T02:15:00.000Z,195,1
Set,2017-06-22T19:15:00.000Z,1215,1
Rise,2017-06-23T03:00:00.000Z,240,1
Set,2017-06-23T19:20:00.000Z,1220,1
Rise,2017-06-24T02:20:00.000Z,200,1
Set,2017-06-24T19:20:00.000Z,1220,1
Rise,2017-06-25T02:30:00.000Z,210,1
Set,2017-06-25T19:25:00.000Z,1225,1
Rise,2017-06-26T02:35:00.000Z,215,1
Set,2017-06-26T19:25:00.000Z,1225,1
Rise,2017-06-27T02:20:00.000Z,200,1
Set,2017-06-27T19:15:00.000Z,1215,1
Rise,2017-06-28T02:20:00.000Z,200,1
Set,2017-06-28T19:10:00.000Z,1210,1
Rise,2017-06-29T02:50:00.000Z,230,1
Set,2017-06-29T19:25:00.000Z,1225,1
Rise,2017-06-30T02:20:00.000Z,200,1
Set,2017-06-30T19:10:00.000Z,1210,1
Rise,2017-07-01T02:35:00.000Z,215,1
Set,2017-07-01T19:20:00.000Z,1220,1
Rise,2017-07-02T02:30:00.000Z,210,1
Set,2017-07-02T19:15:00.000Z,1215,1
Rise,2017-07-03T02:35:00.000Z,215,1
Set,2017-07-03T19:15:00.000Z,1215,1
Rise,2017-07-04T02:35:00.000Z,215,1
Set,2017-07-04T18:50:00.000Z,1190,1
Rise,2017-07-05T02:35:00.000Z,215,1
Set,2017-07-05T19:15:00.000Z,1215,1
Rise,2017-07-06T02:35:00.000Z,215,1
Set,2017-07-06T18:55:00.000Z,1195,1
Rise,2017-07-07T02:35:00.000Z,215,1
Set,2017-07-07T19:05:00.000Z,1205,1
Rise,2017-07-08T02:35:00.000Z,215,1
Set,2017-07-08T19:15:00.000Z,1215,1
Rise,2017-07-09T02:45:00.000Z,225,1
Set,2017-07-09T19:10:00.000Z,1210,1
Rise,2017-07-10T02:55:00.000Z,235,1
Set,2017-07-10T19:05:00.000Z,1205,1
Rise,2017-07-11T02:45:00.000Z,225,1
Set,2017-07-11T19:10:00.000Z,1210,1
Rise,2017-07-12T02:35:00.000Z,215,1
Set,2017-07-12T18:55:00.000Z,1195,1
Rise,2017-07-13T02:45:00.000Z,225,1
Set,2017-07-13T18:50:00.000Z,1190,1
Rise,2017-07-14T02:50:00.000Z,230,1
Set,2017-07-14T18:55:00.000Z,1195,1
Rise,2017-07-15T03:05:00.000Z,245,1
Set,2017-07-15T18:55:00.000Z,1195,1
Rise,2017-07-16T02:55:00.000Z,235,1
Set,2017-07-16T18:55:00.000Z,1195,1
Rise,2017-07-17T02:45:00.000Z,225,1
Set,2017-07-17T19:10:00.000Z,1210,1
Rise,2017-07-18T03:15:00.000Z,255,2
Set,2017-07-18T18:50:00.000Z,1190,2
Rise,2017-07-19T02:55:00.000Z,235,3
Set,2017-07-19T18:35:00.000Z,1175,3
Rise,2017-07-20T03:10:00.000Z,250,4
Set,2017-07-20T18:40:00.000Z,1180,4
Rise,2017-07-21T03:00:00.000Z,240,4
Set,2017-07-21T18:55:00.000Z,1195,4
Rise,2017-07-22T03:35:00.000Z,275,discard
Set,2017-07-22T18:45:00.000Z,1185,5
Rise,2017-07-23T02:55:00.000Z,235,discard
Set,2017-07-23T18:55:00.000Z,1195,6
Rise,2017-07-24T03:15:00.000Z,255,7
Set,2017-07-24T18:35:00.000Z,1175,7
Rise,2017-07-25T03:15:00.000Z,255,7
Set,2017-07-25T18:35:00.000Z,1175,7
Rise,2017-07-26T03:30:00.000Z,270,7
Set,2017-07-26T17:35:00.000Z,1115,discard
Rise,2017-07-27T03:20:00.000Z,260,7
Set,2017-07-27T18:25:00.000Z,1165,7
Rise,2017-07-28T03:15:00.000Z,255,7
Set,2017-07-28T18:30:00.000Z,1170,7
Rise,2017-07-29T03:15:00.000Z,255,8
Set,2017-07-29T18:30:00.000Z,1170,8
Rise,2017-07-30T03:30:00.000Z,270,8
Set,2017-07-30T18:30:00.000Z,1170,8
Rise,2017-07-31T03:40:00.000Z,280,9
Set,2017-07-31T18:40:00.000Z,1180,9
Rise,2017-08-01T03:40:00.000Z,280,10
Set,2017-08-01T18:35:00.000Z,1175,10
Rise,2017-08-02T03:50:00.000Z,290,10
Set,2017-08-02T18:25:00.000Z,1165,10
Rise,2017-08-03T04:00:00.000Z,300,10
Set,2017-08-03T18:25:00.000Z,1165,10
Rise,2017-08-04T03:50:00.000Z,290,10
Set,2017-08-04T18:40:00.000Z,1180,10
Rise,2017-08-05T03:55:00.000Z,295,10
Set,2017-08-05T18:30:00.000Z,1170,10
Rise,2017-08-06T03:55:00.000Z,295,10
Set,2017-08-06T18:30:00.000Z,1170,10
Rise,2017-08-07T04:10:00.000Z,310,10
Set,2017-08-07T18:30:00.000Z,1170,10
Rise,2017-08-08T03:50:00.000Z,290,10
Set,2017-08-08T18:25:00.000Z,1165,10
Rise,2017-08-09T03:55:00.000Z,295,10
Set,2017-08-09T18:20:00.000Z,1160,10
Rise,2017-08-10T04:05:00.000Z,305,10
Set,2017-08-10T18:20:00.000Z,1160,10
Rise,2017-08-11T03:55:00.000Z,295,10
Set,2017-08-11T18:20:00.000Z,1160,10
Rise,2017-08-12T04:10:00.000Z,310,10
Set,2017-08-12T18:15:00.000Z,1155,10
Rise,2017-08-13T04:00:00.000Z,300,10
Set,2017-08-13T18:15:00.000Z,1155,10
Rise,2017-08-14T04:05:00.000Z,305,10
Set,2017-08-14T18:25:00.000Z,1165,10
Rise,2017-08-15T04:05:00.000Z,305,10
Set,2017-08-15T18:20:00.000Z,1160,10
Rise,2017-08-16T04:15:00.000Z,315,10
Set,2017-08-16T18:05:00.000Z,1145,10
Rise,2017-08-17T04:10:00.000Z,310,10
Set,2017-08-17T18:20:00.000Z,1160,10
Rise,2017-08-18T04:05:00.000Z,305,10
Set,2017-08-18T18:15:00.000Z,1155,10
Rise,2017-08-19T04:00:00.000Z,300,10
Set,2017-08-19T18:20:00.000Z,1160,10
Rise,2017-08-20T04:10:00.000Z,310,10
Set,2017-08-20T18:10:00.000Z,1150,10
Rise,2017-08-21T04:05:00.000Z,305,10
Set,2017-08-21T18:15:00.000Z,1155,10
Rise,2017-08-22T04:15:00.000Z,315,10
Set,2017-08-22T18:10:00.000Z,1150,10
Rise,2017-08-23T04:15:00.000Z,315,11
Set,2017-08-23T18:05:00.000Z,1145,11
Rise,2017-08-24T04:45:00.000Z,345,12
Set,2017-08-24T18:05:00.000Z,1145,12
Rise,2017-08-25T04:55:00.000Z,355,13
Set,2017-08-25T18:15:00.000Z,1155,13
Rise,2017-08-26T05:05:00.000Z,365,14
Set,2017-08-26T18:10:00.000Z,1150,14
Rise,2017-08-27T05:05:00.000Z,365,14-5
Set,2017-08-27T18:20:00.000Z,1160,15
Rise,2017-08-28T05:25:00.000Z,385,16
Set,2017-08-28T18:15:00.000Z,1155,16
Rise,2017-08-29T05:25:00.000Z,385,16
Set,2017-08-29T18:15:00.000Z,1155,16
Rise,2017-08-30T05:20:00.000Z,380,17
Set,2017-08-30T17:50:00.000Z,1130,17
Rise,2017-08-31T05:35:00.000Z,395,17
Set,2017-08-31T18:05:00.000Z,1145,17
Rise,2017-09-01T05:30:00.000Z,390,18
Set,2017-09-01T17:55:00.000Z,1135,18
Rise,2017-09-02T05:15:00.000Z,375,19
Set,2017-09-02T18:05:00.000Z,1145,19
Rise,2017-09-03T05:50:00.000Z,410,discard
Set,2017-09-03T18:00:00.000Z,1140,19
Rise,2017-09-04T05:15:00.000Z,375,20
Set,2017-09-04T17:45:00.000Z,1125,20
Rise,2017-09-05T05:00:00.000Z,360,21
Set,2017-09-05T17:40:00.000Z,1120,21
Rise,2017-09-06T05:05:00.000Z,365,22
Set,2017-09-06T17:40:00.000Z,1120,22
Rise,2017-09-07T05:25:00.000Z,385,discard
Set,2017-09-07T17:35:00.000Z,1115,22
Rise,2017-09-08T05:05:00.000Z,365,22
Set,2017-09-08T17:35:00.000Z,1115,22
Rise,2017-09-09T05:10:00.000Z,370,22
Set,2017-09-09T17:40:00.000Z,1120,22
Rise,2017-09-10T05:05:00.000Z,365,23
Set,2017-09-10T17:35:00.000Z,1115,23
Rise,2017-09-11T05:05:00.000Z,365,24
Set,2017-09-11T17:35:00.000Z,1115,24
Rise,2017-09-12T05:10:00.000Z,370,24
Set,2017-09-12T17:35:00.000Z,1115,24
Rise,2017-09-13T05:10:00.000Z,370,24
Set,2017-09-13T17:30:00.000Z,1110,24
Rise,2017-09-14T05:10:00.000Z,370,24
Set,2017-09-14T17:35:00.000Z,1115,24
Rise,2017-09-15T05:15:00.000Z,375,24
Set,2017-09-15T17:30:00.000Z,1110,24
Rise,2017-09-16T05:10:00.000Z,370,24
Set,2017-09-16T17:15:00.000Z,1095,24
Rise,2017-09-17T05:15:00.000Z,375,24
Set,2017-09-17T17:30:00.000Z,1110,24
